name,variant,runtime_us,vlen,cpy
autoconversion_snow_size_4194304_v2,dace,296949.0,None,None
autoconversion_snow_size_4194304_v2,fortran,322946.23500000004,None,None
autoconversion_snow_size_4194304_v2,dace,296617.0,None,None
autoconversion_snow_size_4194304_v2,dace,295900.0,None,None
autoconversion_snow_size_4194304_v2,dace,295845.0,None,None
autoconversion_snow_size_4194304_v2,dace,297477.0,None,None
autoconversion_snow_size_4194304_v2,dace,297478.0,None,None
autoconversion_snow_size_4194304_v2,dace,297659.0,None,None
autoconversion_snow_size_4194304_v2,dace,297510.0,None,None
autoconversion_snow_size_4194304_v2,dace,297928.0,None,None
autoconversion_snow_size_4194304_v2,dace,298259.0,None,None
autoconversion_snow_size_4194304_v2,dace,297300.0,None,None
autoconversion_snow_size_4194304_v2,fortran,324579.23500000004,None,None
autoconversion_snow_size_4194304_v2,fortran,323680.029,None,None
autoconversion_snow_size_4194304_v2,fortran,325896.973,None,None
autoconversion_snow_size_4194304_v2,fortran,325617.541,None,None
autoconversion_snow_size_4194304_v2,fortran,325145.668,None,None
autoconversion_snow_size_4194304_v2,fortran,323932.66,None,None
autoconversion_snow_size_4194304_v2,fortran,324368.664,None,None
autoconversion_snow_size_4194304_v2,fortran,325458.67,None,None
autoconversion_snow_size_4194304_v2,fortran,325077.848,None,None
autoconversion_snow_size_4194304_v2,fortran,324927.947,None,None
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,362033.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,364715.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,361390.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,363054.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,363493.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,363321.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,362914.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,363349.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,363065.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,363336.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,363222.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,350624.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,351371.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,351049.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,350550.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,350705.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,349879.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,350425.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,351211.0,4,True
