name,variant,runtime_us,vlen,cpy
ice_supersaturation_force_width_256_size_2097152,dace,15131.0,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14858.457,None,None
ice_supersaturation_force_width_256_size_2097152,dace,15051.0,None,None
ice_supersaturation_force_width_256_size_2097152,dace,15125.0,None,None
ice_supersaturation_force_width_256_size_2097152,dace,15034.0,None,None
ice_supersaturation_force_width_256_size_2097152,dace,14848.0,None,None
ice_supersaturation_force_width_256_size_2097152,dace,15112.0,None,None
ice_supersaturation_force_width_256_size_2097152,dace,15166.0,None,None
ice_supersaturation_force_width_256_size_2097152,dace,14930.0,None,None
ice_supersaturation_force_width_256_size_2097152,dace,14935.0,None,None
ice_supersaturation_force_width_256_size_2097152,dace,14826.0,None,None
ice_supersaturation_force_width_256_size_2097152,dace,15091.0,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14838.387,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14619.426,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14524.646,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14496.385,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14860.857,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14715.786,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14473.115,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14517.925,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14523.275,None,None
ice_supersaturation_force_width_256_size_2097152,fortran,14880.298,None,None
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14580.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14319.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14842.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14382.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14468.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14708.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14452.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14388.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14386.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14559.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_w_cpy,14529.0,4,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12567.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12247.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12250.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12927.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12316.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12338.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12188.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12575.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12550.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12307.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_4_no_cpy,12189.0,4,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,15045.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,14743.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,14849.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,15051.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,14795.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,14731.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,15145.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,14796.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,14801.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,14788.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_w_cpy,15004.0,8,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14690.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14468.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14573.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14791.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14484.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14535.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14853.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14476.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14431.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14866.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_8_no_cpy,14521.0,8,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77427.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77708.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77541.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77681.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77357.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77395.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77987.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,78026.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77755.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77328.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_w_cpy,77490.0,16,True
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,67514.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,68555.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,67880.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,68003.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,68246.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,67695.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,68048.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,67466.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,67583.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,67822.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_16_no_cpy,68087.0,16,False
ice_supersaturation_force_width_256_size_2097152,dace_vec_32_w_cpy,74323.0,32,True
