name,variant,runtime_us,vlen,cpy
ice_supersaturation_size_4194304_v3,dace,47680.0,None,None
ice_supersaturation_size_4194304_v3,fortran,46637.030000000006,None,None
ice_supersaturation_size_4194304_v3,dace,48347.0,None,None
ice_supersaturation_size_4194304_v3,dace,47644.0,None,None
ice_supersaturation_size_4194304_v3,dace,47639.0,None,None
ice_supersaturation_size_4194304_v3,dace,47495.0,None,None
ice_supersaturation_size_4194304_v3,dace,47689.0,None,None
ice_supersaturation_size_4194304_v3,dace,47734.0,None,None
ice_supersaturation_size_4194304_v3,dace,48368.0,None,None
ice_supersaturation_size_4194304_v3,dace,47342.0,None,None
ice_supersaturation_size_4194304_v3,dace,47535.0,None,None
ice_supersaturation_size_4194304_v3,dace,47592.0,None,None
ice_supersaturation_size_4194304_v3,fortran,47578.672000000006,None,None
ice_supersaturation_size_4194304_v3,fortran,47380.409999999996,None,None
ice_supersaturation_size_4194304_v3,fortran,47025.169,None,None
ice_supersaturation_size_4194304_v3,fortran,47228.42,None,None
ice_supersaturation_size_4194304_v3,fortran,47221.72,None,None
ice_supersaturation_size_4194304_v3,fortran,47098.819,None,None
ice_supersaturation_size_4194304_v3,fortran,47343.740000000005,None,None
ice_supersaturation_size_4194304_v3,fortran,47197.58,None,None
ice_supersaturation_size_4194304_v3,fortran,47236.08,None,None
ice_supersaturation_size_4194304_v3,fortran,47258.04,None,None
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,81030.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,859320.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,80571.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,80881.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,80684.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,80582.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,80735.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,80689.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,80705.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,80933.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_w_cpy,80887.0,4,True
ice_supersaturation_size_4194304_v3,dace_vec_4_no_cpy,85642.0,4,False
ice_supersaturation_size_4194304_v3,dace_vec_4_no_cpy,365099.0,4,False
ice_supersaturation_size_4194304_v3,dace_vec_4_no_cpy,85259.0,4,False
ice_supersaturation_size_4194304_v3,dace_vec_4_no_cpy,85083.0,4,False
ice_supersaturation_size_4194304_v3,dace_vec_4_no_cpy,85525.0,4,False
