name,variant,runtime_us,vlen,cpy
rain_evaporation_force_width_512_size_4194304_v3,dace,84338.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,92065.47399999999,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,81880.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,74913.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,69622.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,64913.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,60908.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,57209.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,54432.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,51757.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,49512.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,47215.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,93462.404,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,89511.845,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,82814.677,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,76971.16399999999,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,71533.316,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,67248.365,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,63154.96600000001,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,59852.682,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,56986.651,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,54487.673,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,84563.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,92188.811,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,81529.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,74768.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,69433.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,64585.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,60854.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,57219.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,54174.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,51487.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,49154.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,dace,47110.0,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,93203.154,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,89649.242,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,83105.389,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,77324.593,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,71388.984,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,67346.597,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,63163.79,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,59835.259,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,57092.901,None,None
rain_evaporation_force_width_512_size_4194304_v3,fortran,54547.045000000006,None,None
