name,variant,runtime_us,vlen,cpy
rain_evaporation_size_4194304,dace,85382.0,None,None
rain_evaporation_size_4194304,fortran,92857.0,None,None
rain_evaporation_size_4194304,dace,81929.0,None,None
rain_evaporation_size_4194304,dace,75761.0,None,None
rain_evaporation_size_4194304,dace,69929.0,None,None
rain_evaporation_size_4194304,dace,65102.0,None,None
rain_evaporation_size_4194304,dace,61265.0,None,None
rain_evaporation_size_4194304,dace,57338.0,None,None
rain_evaporation_size_4194304,dace,54526.0,None,None
rain_evaporation_size_4194304,dace,51642.0,None,None
rain_evaporation_size_4194304,dace,49328.0,None,None
rain_evaporation_size_4194304,dace,47262.0,None,None
rain_evaporation_size_4194304,fortran,93055.481,None,None
rain_evaporation_size_4194304,fortran,88085.125,None,None
rain_evaporation_size_4194304,fortran,81768.169,None,None
rain_evaporation_size_4194304,fortran,75697.135,None,None
rain_evaporation_size_4194304,fortran,70911.289,None,None
rain_evaporation_size_4194304,fortran,66534.618,None,None
rain_evaporation_size_4194304,fortran,62759.44,None,None
rain_evaporation_size_4194304,fortran,59746.278,None,None
rain_evaporation_size_4194304,fortran,56963.027,None,None
rain_evaporation_size_4194304,fortran,54690.02,None,None
rain_evaporation_size_4194304,dace_vec_4_no_cpy,257866.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,1843057.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,260627.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,260821.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,260969.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,261502.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,261700.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,261982.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,261897.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,261568.0,4,False
rain_evaporation_size_4194304,dace_vec_4_no_cpy,262459.0,4,False
rain_evaporation_size_4194304,dace_vec_4_w_cpy,266038.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,266507.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,266189.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,266799.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,268616.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,267749.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,268575.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,268742.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,269336.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,268696.0,4,True
rain_evaporation_size_4194304,dace_vec_4_w_cpy,268921.0,4,True
rain_evaporation_size_4194304,dace_vec_8_no_cpy,186727.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,2105543.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,187613.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,187981.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,188545.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,187891.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,188128.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,188075.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,187720.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,187925.0,8,False
rain_evaporation_size_4194304,dace_vec_8_no_cpy,187669.0,8,False
rain_evaporation_size_4194304,dace_vec_8_w_cpy,197089.0,8,True
rain_evaporation_size_4194304,dace_vec_8_w_cpy,1699637.0,8,True
rain_evaporation_size_4194304,dace_vec_8_w_cpy,198361.0,8,True
rain_evaporation_size_4194304,dace_vec_8_w_cpy,198821.0,8,True
rain_evaporation_size_4194304,dace_vec_8_w_cpy,199103.0,8,True
rain_evaporation_size_4194304,dace_vec_8_w_cpy,198745.0,8,True
rain_evaporation_size_4194304,dace_vec_8_w_cpy,198998.0,8,True
