name,variant,runtime_us,vlen,cpy
rain_evaporation_size_4194304_v3,dace,84964.0,None,None
rain_evaporation_size_4194304_v3,fortran,92697.938,None,None
rain_evaporation_size_4194304_v3,dace,82134.0,None,None
rain_evaporation_size_4194304_v3,dace,75995.0,None,None
rain_evaporation_size_4194304_v3,dace,70659.0,None,None
rain_evaporation_size_4194304_v3,dace,65517.0,None,None
rain_evaporation_size_4194304_v3,dace,60887.0,None,None
rain_evaporation_size_4194304_v3,dace,57585.0,None,None
rain_evaporation_size_4194304_v3,dace,54705.0,None,None
rain_evaporation_size_4194304_v3,dace,51700.0,None,None
rain_evaporation_size_4194304_v3,dace,49306.0,None,None
rain_evaporation_size_4194304_v3,dace,47602.0,None,None
rain_evaporation_size_4194304_v3,fortran,92245.304,None,None
rain_evaporation_size_4194304_v3,fortran,88342.318,None,None
rain_evaporation_size_4194304_v3,fortran,81863.474,None,None
rain_evaporation_size_4194304_v3,fortran,75825.04299999999,None,None
rain_evaporation_size_4194304_v3,fortran,70973.64,None,None
rain_evaporation_size_4194304_v3,fortran,66463.23,None,None
rain_evaporation_size_4194304_v3,fortran,62856.975999999995,None,None
rain_evaporation_size_4194304_v3,fortran,59845.955,None,None
rain_evaporation_size_4194304_v3,fortran,56906.195999999996,None,None
rain_evaporation_size_4194304_v3,fortran,54725.63,None,None
