name,variant,runtime_us,vlen,cpy
ice_supersaturation_intrinsic_sve_size_8388608,dace,94309.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,130405.815,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,96521.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,97467.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,93556.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,94539.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,91830.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,95126.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,91956.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,94038.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,91206.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,92897.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47477.585,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47498.512,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47153.978,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47255.383,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47096.028,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46642.697,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47076.349,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47000.382,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46724.647000000004,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46568.94,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,80174.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,83147.782,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,82205.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,81124.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,84380.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,81028.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,80976.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,80659.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,80250.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,82318.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,79627.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,dace,79444.0,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47168.653,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47057.744999999995,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,47054.831999999995,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46988.274,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46877.59,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46759.129,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46715.13,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46716.699,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46727.738,None,None
ice_supersaturation_intrinsic_sve_size_8388608,fortran,46498.367999999995,None,None
