name,variant,runtime_us,vlen,cpy
rain_evaporation_no_vectorize_size_4194304,dace,62693.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,61037.736000000004,None,None
rain_evaporation_no_vectorize_size_4194304,dace,60479.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,65144.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,68004.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,63548.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,55354.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,58700.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,56810.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,53384.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,52026.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,50580.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,36982.22,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,31943.911,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,31424.6,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,30803.498,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,29431.605,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,28452.307999999997,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27213.818,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,26388.499,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,26097.307,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,24741.318000000003,None,None
rain_evaporation_no_vectorize_size_4194304,dace,59415.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,58904.318999999996,None,None
rain_evaporation_no_vectorize_size_4194304,dace,62867.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,60144.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,62865.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,62167.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,58451.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,57283.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,55554.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,57186.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,52805.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,51490.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,34039.543999999994,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,32341.769,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,32140.270999999997,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,31517.858000000004,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,30871.061,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,30836.695,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,28486.267,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27133.571,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27232.192,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,26067.074,None,None
rain_evaporation_no_vectorize_size_4194304,dace,127539.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,101101.859,None,None
rain_evaporation_no_vectorize_size_4194304,dace,130209.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,120704.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,116293.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,107138.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,102404.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,96888.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,94849.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,91799.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,88161.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,78398.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,32314.022000000004,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,31760.572,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,32788.248,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,33170.346000000005,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,31270.349000000002,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,30231.506,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,28603.308,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27117.406,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,26341.307,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,25374.525,None,None
rain_evaporation_no_vectorize_size_4194304,dace,125881.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,118488.456,None,None
rain_evaporation_no_vectorize_size_4194304,dace,113481.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,112642.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,116152.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,110008.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,101875.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,98109.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,94873.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,88870.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,87076.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,89037.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,28952.386,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27463.766,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,28184.125,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27980.997,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27149.921000000002,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,26397.820000000003,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,25555.962000000003,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,24380.706000000002,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,23676.316000000003,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,23125.967,None,None
