name,variant,runtime_us,vlen,cpy
rain_evaporation_size_4194304_v3,dace,29273.0,None,None
rain_evaporation_size_4194304_v3,fortran,28545.227000000003,None,None
rain_evaporation_size_4194304_v3,dace,27819.0,None,None
rain_evaporation_size_4194304_v3,dace,27587.0,None,None
rain_evaporation_size_4194304_v3,dace,27458.0,None,None
rain_evaporation_size_4194304_v3,dace,26901.0,None,None
rain_evaporation_size_4194304_v3,dace,26150.0,None,None
rain_evaporation_size_4194304_v3,dace,25163.0,None,None
rain_evaporation_size_4194304_v3,dace,24870.0,None,None
rain_evaporation_size_4194304_v3,dace,24388.0,None,None
rain_evaporation_size_4194304_v3,dace,23704.0,None,None
rain_evaporation_size_4194304_v3,dace,23108.0,None,None
rain_evaporation_size_4194304_v3,fortran,28379.376,None,None
rain_evaporation_size_4194304_v3,fortran,26824.868000000002,None,None
rain_evaporation_size_4194304_v3,fortran,27685.864,None,None
rain_evaporation_size_4194304_v3,fortran,26670.952,None,None
rain_evaporation_size_4194304_v3,fortran,26069.213,None,None
rain_evaporation_size_4194304_v3,fortran,24715.722,None,None
rain_evaporation_size_4194304_v3,fortran,24818.118,None,None
rain_evaporation_size_4194304_v3,fortran,23602.191000000003,None,None
rain_evaporation_size_4194304_v3,fortran,23103.424,None,None
rain_evaporation_size_4194304_v3,fortran,21957.445000000003,None,None
rain_evaporation_size_4194304_v3,dace,28598.0,None,None
rain_evaporation_size_4194304_v3,fortran,29046.367000000002,None,None
rain_evaporation_size_4194304_v3,dace,28797.0,None,None
rain_evaporation_size_4194304_v3,dace,28277.0,None,None
rain_evaporation_size_4194304_v3,dace,27912.0,None,None
rain_evaporation_size_4194304_v3,dace,26819.0,None,None
rain_evaporation_size_4194304_v3,dace,25715.0,None,None
rain_evaporation_size_4194304_v3,dace,25770.0,None,None
rain_evaporation_size_4194304_v3,dace,24844.0,None,None
rain_evaporation_size_4194304_v3,dace,23997.0,None,None
rain_evaporation_size_4194304_v3,dace,22850.0,None,None
rain_evaporation_size_4194304_v3,dace,22420.0,None,None
rain_evaporation_size_4194304_v3,fortran,29252.024,None,None
rain_evaporation_size_4194304_v3,fortran,27382.901,None,None
rain_evaporation_size_4194304_v3,fortran,26885.926,None,None
rain_evaporation_size_4194304_v3,fortran,27398.645000000004,None,None
rain_evaporation_size_4194304_v3,fortran,26481.907000000003,None,None
rain_evaporation_size_4194304_v3,fortran,25697.132,None,None
rain_evaporation_size_4194304_v3,fortran,24242.59,None,None
rain_evaporation_size_4194304_v3,fortran,24155.744,None,None
rain_evaporation_size_4194304_v3,fortran,22836.171000000002,None,None
rain_evaporation_size_4194304_v3,fortran,22263.647,None,None
rain_evaporation_size_4194304_v3,dace,45585.0,None,None
rain_evaporation_size_4194304_v3,fortran,45611.560000000005,None,None
rain_evaporation_size_4194304_v3,dace,45303.0,None,None
rain_evaporation_size_4194304_v3,dace,42815.0,None,None
rain_evaporation_size_4194304_v3,dace,42126.0,None,None
rain_evaporation_size_4194304_v3,dace,46530.0,None,None
rain_evaporation_size_4194304_v3,dace,41282.0,None,None
rain_evaporation_size_4194304_v3,dace,38040.0,None,None
rain_evaporation_size_4194304_v3,dace,40207.0,None,None
rain_evaporation_size_4194304_v3,dace,39617.0,None,None
rain_evaporation_size_4194304_v3,dace,35772.0,None,None
rain_evaporation_size_4194304_v3,dace,37044.0,None,None
rain_evaporation_size_4194304_v3,fortran,28494.484,None,None
rain_evaporation_size_4194304_v3,fortran,28295.257,None,None
rain_evaporation_size_4194304_v3,fortran,28144.349000000002,None,None
rain_evaporation_size_4194304_v3,fortran,27477.969,None,None
rain_evaporation_size_4194304_v3,fortran,26540.779000000002,None,None
rain_evaporation_size_4194304_v3,fortran,25710.499,None,None
rain_evaporation_size_4194304_v3,fortran,24815.997000000003,None,None
rain_evaporation_size_4194304_v3,fortran,23863.895000000004,None,None
rain_evaporation_size_4194304_v3,fortran,22839.221,None,None
rain_evaporation_size_4194304_v3,fortran,22381.601000000002,None,None
rain_evaporation_size_4194304_v3,dace,30507.0,None,None
rain_evaporation_size_4194304_v3,fortran,29071.986,None,None
rain_evaporation_size_4194304_v3,dace,30868.0,None,None
rain_evaporation_size_4194304_v3,dace,29409.0,None,None
rain_evaporation_size_4194304_v3,dace,29951.0,None,None
rain_evaporation_size_4194304_v3,dace,29371.0,None,None
rain_evaporation_size_4194304_v3,dace,28860.0,None,None
rain_evaporation_size_4194304_v3,dace,27340.0,None,None
rain_evaporation_size_4194304_v3,dace,27612.0,None,None
rain_evaporation_size_4194304_v3,dace,26990.0,None,None
rain_evaporation_size_4194304_v3,dace,25633.0,None,None
rain_evaporation_size_4194304_v3,dace,25140.0,None,None
rain_evaporation_size_4194304_v3,fortran,29229.326000000005,None,None
rain_evaporation_size_4194304_v3,fortran,28696.092000000004,None,None
rain_evaporation_size_4194304_v3,fortran,29179.374,None,None
rain_evaporation_size_4194304_v3,fortran,31863.588000000003,None,None
rain_evaporation_size_4194304_v3,fortran,29921.530000000002,None,None
rain_evaporation_size_4194304_v3,fortran,28804.314000000002,None,None
rain_evaporation_size_4194304_v3,fortran,27432.192000000003,None,None
rain_evaporation_size_4194304_v3,fortran,27272.196000000004,None,None
rain_evaporation_size_4194304_v3,fortran,26389.405000000002,None,None
rain_evaporation_size_4194304_v3,fortran,25330.363,None,None
rain_evaporation_size_4194304_v3,dace,86709.0,None,None
rain_evaporation_size_4194304_v3,fortran,91286.053,None,None
rain_evaporation_size_4194304_v3,dace,86665.0,None,None
rain_evaporation_size_4194304_v3,dace,86082.0,None,None
rain_evaporation_size_4194304_v3,dace,78934.0,None,None
rain_evaporation_size_4194304_v3,dace,77118.0,None,None
rain_evaporation_size_4194304_v3,dace,68575.0,None,None
rain_evaporation_size_4194304_v3,dace,62515.0,None,None
rain_evaporation_size_4194304_v3,dace,60937.0,None,None
rain_evaporation_size_4194304_v3,dace,59881.0,None,None
rain_evaporation_size_4194304_v3,dace,55117.0,None,None
rain_evaporation_size_4194304_v3,dace,51561.0,None,None
rain_evaporation_size_4194304_v3,fortran,27675.386000000002,None,None
rain_evaporation_size_4194304_v3,fortran,27458.047000000002,None,None
rain_evaporation_size_4194304_v3,fortran,28155.788,None,None
rain_evaporation_size_4194304_v3,fortran,28070.350000000002,None,None
rain_evaporation_size_4194304_v3,fortran,27099.754,None,None
rain_evaporation_size_4194304_v3,fortran,26207.299000000003,None,None
rain_evaporation_size_4194304_v3,fortran,25149.600000000002,None,None
rain_evaporation_size_4194304_v3,fortran,24529.457000000002,None,None
rain_evaporation_size_4194304_v3,fortran,23748.328,None,None
rain_evaporation_size_4194304_v3,fortran,22352.015000000003,None,None
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,464506.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,459748.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,458346.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,458058.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,464790.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,458775.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,460145.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,462267.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,460668.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,459566.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_no_cpy,459445.0,2,False
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,473212.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,472740.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,471803.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,471297.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,470774.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,472561.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,471676.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,474239.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,472597.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,472912.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_2_w_cpy,472254.0,2,True
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,327765.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,328254.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,326852.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,328071.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,328388.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,327967.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,328312.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,328355.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,328085.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,328945.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_no_cpy,328790.0,4,False
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,343000.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,341444.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,341856.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,341133.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,341608.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,341312.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,341243.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,341300.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,341474.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,341750.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_4_w_cpy,340743.0,4,True
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,455562.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,451892.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,452340.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,450662.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,451462.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,448625.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,450803.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,450992.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,451188.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,450378.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_no_cpy,451659.0,8,False
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,456307.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,456781.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,455678.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,456389.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,456959.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,455869.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,455763.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,457033.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,455960.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,458522.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_8_w_cpy,455858.0,8,True
rain_evaporation_size_4194304_v3,dace_vec_16_no_cpy,414269.0,16,False
rain_evaporation_size_4194304_v3,dace_vec_16_no_cpy,410988.0,16,False
rain_evaporation_size_4194304_v3,dace_vec_16_no_cpy,408807.0,16,False
rain_evaporation_size_4194304_v3,dace_vec_16_no_cpy,410359.0,16,False
rain_evaporation_size_4194304_v3,dace_vec_16_no_cpy,410369.0,16,False
rain_evaporation_size_4194304_v3,dace_vec_16_no_cpy,410189.0,16,False
rain_evaporation_size_4194304_v3,dace_vec_16_no_cpy,410700.0,16,False
rain_evaporation_size_4194304_v3,dace_vec_16_no_cpy,412558.0,16,False
