name,variant,runtime_us,vlen,cpy
ice_supersaturation_no-vectorize_size_4194304_v3,dace,54410.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,53686.433,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,55827.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,60993.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,55171.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,53467.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,53296.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,55136.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,56997.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,54424.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,52725.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace,54698.0,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,46592.958,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,48675.617,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,46001.786,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,46230.039,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,46059.852999999996,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,46407.291000000005,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,46247.236,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,45918.385,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,46251.242999999995,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,fortran,46086.122,None,None
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,64606.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,68412.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,67529.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,66857.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,66927.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,65519.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,67837.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,64734.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,66447.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,65288.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_w_cpy,68003.0,8,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,70558.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,76804.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,72120.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,68889.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,70904.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,68589.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,68170.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,69563.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,67223.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,67916.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_8_no_cpy,67903.0,8,False
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_16_w_cpy,152585.0,16,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_16_w_cpy,153410.0,16,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_16_w_cpy,157879.0,16,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_16_w_cpy,152665.0,16,True
ice_supersaturation_no-vectorize_size_4194304_v3,dace_vec_16_w_cpy,163646.0,16,True
