name,variant,runtime_us,vlen,cpy
rain_evaporation_no-vectorize_size_4194304_v2,dace,73872.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,86351.11600000001,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,71831.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,65077.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,60075.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,55945.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,52753.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,50049.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,47793.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,45792.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,44255.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,42740.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,85854.095,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,81038.91,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,74305.313,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,68352.51000000001,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,63401.636,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,59497.448000000004,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,56036.761,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,53002.307,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,50993.869,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,48958.700000000004,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,73946.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,86716.22399999999,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,71755.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,65820.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,60517.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,56451.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,53179.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,50244.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,47778.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,45826.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,44194.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,dace,42641.0,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,86026.542,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,81075.684,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,74560.047,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,68536.789,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,63616.695,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,59438.665,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,56094.382,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,53458.401000000005,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,51053.435,None,None
rain_evaporation_no-vectorize_size_4194304_v2,fortran,49069.429,None,None
