name,variant,runtime_us,vlen,cpy
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64779.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75438.97,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64666.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64439.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64427.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64489.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64556.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64479.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64601.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64495.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64585.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace,64479.0,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75329.472,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75221.539,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75252.321,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75364.82999999999,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75327.103,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75300.289,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75238.11499999999,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75370.719,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75269.504,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,fortran,75248.45,None,None
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79958.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79949.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79480.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79691.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79480.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79558.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79470.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79480.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79523.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79534.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_no_cpy,79563.0,2,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,83699.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,81436.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,79463.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,80059.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,79963.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,79999.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,79872.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,80487.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,79867.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,79971.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_2_w_cpy,80112.0,2,True
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_4_no_cpy,72854.0,4,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_4_no_cpy,72609.0,4,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_4_no_cpy,73415.0,4,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_4_no_cpy,72227.0,4,False
autoconversion_snow_intrinsic_neon_size_4194304_v3,dace_vec_4_no_cpy,72176.0,4,False
