name,variant,runtime_us,vlen,cpy
autoconversion_snow_intrinsic_sve_size_4194304,dace,65303.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,65239.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63670.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,74009.157,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63447.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63168.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63224.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63250.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63219.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63219.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63194.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63219.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63242.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace,63236.0,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73808.34999999999,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73808.73300000001,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73754.111,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73827.773,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73744.736,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73779.711,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73776.191,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73838.526,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73764.511,None,None
autoconversion_snow_intrinsic_sve_size_4194304,fortran,73736.96,None,None
autoconversion_snow_intrinsic_sve_size_4194304,dace_vec_8_no_cpy,141929.0,8,False
autoconversion_snow_intrinsic_sve_size_4194304,dace_vec_8_no_cpy,141289.0,8,False
autoconversion_snow_intrinsic_sve_size_4194304,dace_vec_8_no_cpy,140894.0,8,False
autoconversion_snow_intrinsic_sve_size_4194304,dace_vec_8_no_cpy,141162.0,8,False
autoconversion_snow_intrinsic_sve_size_4194304,dace_vec_8_no_cpy,140955.0,8,False
autoconversion_snow_intrinsic_sve_size_4194304,dace_vec_8_no_cpy,141003.0,8,False
autoconversion_snow_intrinsic_sve_size_4194304,dace_vec_8_no_cpy,141086.0,8,False
