name,variant,runtime_us,vlen,cpy
autoconversion_snow_no_vectorize_size_4194304_v3,dace,93548.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,100754.23999999999,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,88410.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,78396.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,86482.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,87822.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,87874.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,92464.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,91465.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,91664.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,92313.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace,92386.0,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75846.255,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75865.294,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75817.36,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75801.328,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75777.45700000001,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75835.28,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75856.36499999999,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75825.68000000001,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75807.087,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,fortran,75836.558,None,None
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69199.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69248.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69010.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69042.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69067.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69065.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69046.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69056.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69043.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69021.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_no_cpy,69036.0,2,False
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,71680.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,70961.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,69364.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,69815.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,70185.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,69817.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,69951.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,69869.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,69789.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,69785.0,2,True
autoconversion_snow_no_vectorize_size_4194304_v3,dace_vec_2_w_cpy,69725.0,2,True
