name,variant,runtime_us,vlen,cpy
ice_supersaturation_size_4194304,dace,24186.0,None,None
ice_supersaturation_size_4194304,dace,24532.0,None,None
ice_supersaturation_size_4194304,dace,29578.0,None,None
ice_supersaturation_size_4194304,fortran,30267.452,None,None
ice_supersaturation_size_4194304,dace,34889.0,None,None
ice_supersaturation_size_4194304,dace,33757.0,None,None
ice_supersaturation_size_4194304,dace,35519.0,None,None
ice_supersaturation_size_4194304,dace,33798.0,None,None
ice_supersaturation_size_4194304,dace,33743.0,None,None
ice_supersaturation_size_4194304,dace,33235.0,None,None
ice_supersaturation_size_4194304,dace,33123.0,None,None
ice_supersaturation_size_4194304,dace,34021.0,None,None
ice_supersaturation_size_4194304,dace,33668.0,None,None
ice_supersaturation_size_4194304,dace,33289.0,None,None
ice_supersaturation_size_4194304,fortran,28000.127,None,None
ice_supersaturation_size_4194304,fortran,23176.367,None,None
ice_supersaturation_size_4194304,fortran,23383.753,None,None
ice_supersaturation_size_4194304,fortran,22962.740999999998,None,None
ice_supersaturation_size_4194304,fortran,23200.814,None,None
ice_supersaturation_size_4194304,fortran,22935.478,None,None
ice_supersaturation_size_4194304,fortran,23259.693000000003,None,None
ice_supersaturation_size_4194304,fortran,22621.375,None,None
ice_supersaturation_size_4194304,fortran,23076.049000000003,None,None
ice_supersaturation_size_4194304,fortran,22459.396,None,None
ice_supersaturation_size_4194304,dace,23514.0,None,None
ice_supersaturation_size_4194304,fortran,22355.438,None,None
ice_supersaturation_size_4194304,dace,26609.0,None,None
ice_supersaturation_size_4194304,dace,23698.0,None,None
ice_supersaturation_size_4194304,dace,24810.0,None,None
ice_supersaturation_size_4194304,dace,23836.0,None,None
ice_supersaturation_size_4194304,dace,24786.0,None,None
ice_supersaturation_size_4194304,dace,24659.0,None,None
ice_supersaturation_size_4194304,dace,24186.0,None,None
ice_supersaturation_size_4194304,dace,22697.0,None,None
ice_supersaturation_size_4194304,dace,24260.0,None,None
ice_supersaturation_size_4194304,dace,24692.0,None,None
ice_supersaturation_size_4194304,fortran,25064.89,None,None
ice_supersaturation_size_4194304,fortran,23601.063,None,None
ice_supersaturation_size_4194304,fortran,23398.477000000003,None,None
ice_supersaturation_size_4194304,fortran,24367.536,None,None
ice_supersaturation_size_4194304,fortran,23807.168999999998,None,None
ice_supersaturation_size_4194304,fortran,23957.245,None,None
ice_supersaturation_size_4194304,fortran,23868.831,None,None
ice_supersaturation_size_4194304,fortran,24270.963,None,None
ice_supersaturation_size_4194304,fortran,24257.299,None,None
ice_supersaturation_size_4194304,fortran,23848.576,None,None
ice_supersaturation_size_4194304,dace,23062.0,None,None
ice_supersaturation_size_4194304,fortran,27864.319,None,None
ice_supersaturation_size_4194304,dace,22771.0,None,None
ice_supersaturation_size_4194304,dace,22144.0,None,None
ice_supersaturation_size_4194304,dace,22278.0,None,None
ice_supersaturation_size_4194304,dace,22265.0,None,None
ice_supersaturation_size_4194304,dace,22612.0,None,None
ice_supersaturation_size_4194304,dace,22275.0,None,None
ice_supersaturation_size_4194304,dace,22263.0,None,None
ice_supersaturation_size_4194304,dace,22348.0,None,None
ice_supersaturation_size_4194304,dace,22655.0,None,None
ice_supersaturation_size_4194304,dace,22175.0,None,None
ice_supersaturation_size_4194304,fortran,25243.607,None,None
ice_supersaturation_size_4194304,fortran,23913.219999999998,None,None
ice_supersaturation_size_4194304,fortran,24560.622,None,None
ice_supersaturation_size_4194304,fortran,24465.393,None,None
ice_supersaturation_size_4194304,fortran,24400.403000000002,None,None
ice_supersaturation_size_4194304,fortran,24377.299000000003,None,None
ice_supersaturation_size_4194304,fortran,24312.31,None,None
ice_supersaturation_size_4194304,fortran,24149.019,None,None
ice_supersaturation_size_4194304,fortran,24109.436,None,None
ice_supersaturation_size_4194304,fortran,24071.71,None,None
ice_supersaturation_size_4194304,dace,24836.0,None,None
ice_supersaturation_size_4194304,fortran,23073.309,None,None
ice_supersaturation_size_4194304,dace,24535.0,None,None
ice_supersaturation_size_4194304,dace,23564.0,None,None
ice_supersaturation_size_4194304,dace,23695.0,None,None
ice_supersaturation_size_4194304,dace,23663.0,None,None
ice_supersaturation_size_4194304,dace,23685.0,None,None
ice_supersaturation_size_4194304,dace,23753.0,None,None
ice_supersaturation_size_4194304,dace,23729.0,None,None
ice_supersaturation_size_4194304,dace,23649.0,None,None
ice_supersaturation_size_4194304,dace,23727.0,None,None
ice_supersaturation_size_4194304,dace,23737.0,None,None
ice_supersaturation_size_4194304,fortran,23520.654,None,None
ice_supersaturation_size_4194304,fortran,22587.66,None,None
ice_supersaturation_size_4194304,fortran,22588.461,None,None
ice_supersaturation_size_4194304,fortran,22418.45,None,None
ice_supersaturation_size_4194304,fortran,22817.029,None,None
ice_supersaturation_size_4194304,fortran,22651.34,None,None
ice_supersaturation_size_4194304,fortran,22521.871,None,None
ice_supersaturation_size_4194304,fortran,22443.09,None,None
ice_supersaturation_size_4194304,fortran,22948.8,None,None
ice_supersaturation_size_4194304,fortran,22422.802,None,None
