name,variant,runtime_us,vlen,cpy
lu_solver_microphysics_no_vectorize_size_4194304,dace,228101.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229709.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229906.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,225671.21000000002,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,242372.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229699.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229441.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229480.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229345.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229458.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229528.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229330.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229349.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229064.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,224381.041,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,224138.45700000002,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,224244.086,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,224010.396,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,224150.618,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,224003.804,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,223951.872,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,224116.314,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,223856.929,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,223998.14200000002,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,236889.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,225929.58,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,225346.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,224336.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,224689.0,None,None
