name,variant,runtime_us,vlen,cpy
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222612.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,218669.98,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222918.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222282.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,221754.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222024.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222106.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222198.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222303.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222148.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222201.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222303.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217447.91199999998,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217288.909,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217322.028,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217217.775,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217276.366,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217425.865,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217310.50900000002,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217477.958,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217406.729,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217463.17500000002,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222784.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,220408.93899999998,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,224637.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222867.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222751.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222814.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222839.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222755.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222851.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,223038.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,222501.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,223036.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,218154.551,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217614.378,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217465.935,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217419.728,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217135.834,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217355.282,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217363.57,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217345.842,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,253905.73799999998,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,217041.84600000002,None,None
