name,variant,runtime_us,vlen,cpy
rain_evaporation_intrinsic_sve_size_4194304,dace,72726.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,67341.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,72939.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,33330.03,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,78137.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,75286.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,74573.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,74090.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,72433.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,73018.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,65629.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,68220.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,65449.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,64397.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,40772.965000000004,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,40657.449,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,41538.893000000004,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,40587.308000000005,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,37788.451,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,35952.924,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,34387.597,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,31457.673,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,30142.578,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,28362.858,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,78346.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,46575.906,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,75552.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,77519.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,70486.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,70906.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,71135.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,68105.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,64320.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,62440.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,61254.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,60132.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,44666.684,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,40133.897000000004,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,39276.388,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,40722.615,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,38764.467,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,37169.029,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,34752.911,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,33563.092000000004,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,32210.429,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,30860.103,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,104839.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,52397.962,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,104459.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,97507.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,90051.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,88673.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,85912.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,82101.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,81484.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,78480.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,76690.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,76329.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,42507.514,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,40895.409,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,48048.414,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,34551.017,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,44519.478,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,41830.865000000005,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,39316.519,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,37178.384,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,37445.864,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,35084.439,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,69640.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,30400.261000000002,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,72313.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,66957.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,66088.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,64664.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,64086.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,61183.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,62897.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,60716.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,60228.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,dace,58730.0,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,29981.490999999998,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,37610.9,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,39657.359000000004,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,37276.414000000004,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,36324.16,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,33874.993,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,33176.361000000004,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,31809.015000000003,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,30744.218,None,None
rain_evaporation_intrinsic_sve_size_4194304,fortran,29506.915,None,None
