name,variant,runtime_us,vlen,cpy
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,67154.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,28608.405,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,66005.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,64007.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,64870.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,64406.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,63716.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,61398.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,61450.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,61883.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,60393.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,59632.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,30448.567,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,28264.576,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,28939.337,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,29355.579999999998,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,29235.071,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,28409.275,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,26727.029,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,26270.051,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,25393.058,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,25000.272,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,66749.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,27759.729,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,65203.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,64053.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,63161.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,62403.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,61312.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,60317.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,59449.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,59260.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,58811.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,57604.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,28660.307,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,27125.863,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,26726.260000000002,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,26651.447,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,25920.4,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,24960.144,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,24060.527000000002,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,23816.439,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,22994.675,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,22297.865999999998,None,None
