name,variant,runtime_us,vlen,cpy
rain_evaporation_size_4194304_v3,dace,66832.0,None,None
rain_evaporation_size_4194304_v3,fortran,28437.594,None,None
rain_evaporation_size_4194304_v3,dace,65583.0,None,None
rain_evaporation_size_4194304_v3,dace,63800.0,None,None
rain_evaporation_size_4194304_v3,dace,63427.0,None,None
rain_evaporation_size_4194304_v3,dace,63041.0,None,None
rain_evaporation_size_4194304_v3,dace,61438.0,None,None
rain_evaporation_size_4194304_v3,dace,61116.0,None,None
rain_evaporation_size_4194304_v3,dace,60040.0,None,None
rain_evaporation_size_4194304_v3,dace,59420.0,None,None
rain_evaporation_size_4194304_v3,dace,58963.0,None,None
rain_evaporation_size_4194304_v3,dace,58043.0,None,None
rain_evaporation_size_4194304_v3,fortran,28555.286,None,None
rain_evaporation_size_4194304_v3,fortran,27296.738,None,None
rain_evaporation_size_4194304_v3,fortran,27011.691000000003,None,None
rain_evaporation_size_4194304_v3,fortran,27369.181999999997,None,None
rain_evaporation_size_4194304_v3,fortran,26155.880999999998,None,None
rain_evaporation_size_4194304_v3,fortran,25139.402000000002,None,None
rain_evaporation_size_4194304_v3,fortran,24567.999,None,None
rain_evaporation_size_4194304_v3,fortran,23625.565000000002,None,None
rain_evaporation_size_4194304_v3,fortran,22809.819,None,None
rain_evaporation_size_4194304_v3,fortran,22311.114,None,None
rain_evaporation_size_4194304_v3,dace,66900.0,None,None
rain_evaporation_size_4194304_v3,fortran,27893.581000000002,None,None
rain_evaporation_size_4194304_v3,dace,65823.0,None,None
rain_evaporation_size_4194304_v3,dace,64313.0,None,None
rain_evaporation_size_4194304_v3,dace,64524.0,None,None
rain_evaporation_size_4194304_v3,dace,63977.0,None,None
rain_evaporation_size_4194304_v3,dace,63166.0,None,None
rain_evaporation_size_4194304_v3,dace,61769.0,None,None
rain_evaporation_size_4194304_v3,dace,62051.0,None,None
rain_evaporation_size_4194304_v3,dace,62043.0,None,None
rain_evaporation_size_4194304_v3,dace,61211.0,None,None
rain_evaporation_size_4194304_v3,dace,60570.0,None,None
rain_evaporation_size_4194304_v3,fortran,31314.234000000004,None,None
rain_evaporation_size_4194304_v3,fortran,27576.696,None,None
rain_evaporation_size_4194304_v3,fortran,29401.914,None,None
rain_evaporation_size_4194304_v3,fortran,30102.146,None,None
rain_evaporation_size_4194304_v3,fortran,29610.195,None,None
rain_evaporation_size_4194304_v3,fortran,28764.432,None,None
rain_evaporation_size_4194304_v3,fortran,27342.784,None,None
rain_evaporation_size_4194304_v3,fortran,26214.726000000002,None,None
rain_evaporation_size_4194304_v3,fortran,25708.824,None,None
rain_evaporation_size_4194304_v3,fortran,24932.69,None,None
