name,variant,runtime_us,vlen,cpy
autoconversion_snow_size_4194304_v2,dace,53044.0,None,None
autoconversion_snow_size_4194304_v2,fortran,101005.0,None,None
autoconversion_snow_size_4194304_v2,dace,47523.0,None,None
autoconversion_snow_size_4194304_v2,dace,47364.0,None,None
autoconversion_snow_size_4194304_v2,dace,47473.0,None,None
autoconversion_snow_size_4194304_v2,dace,47336.0,None,None
autoconversion_snow_size_4194304_v2,dace,47270.0,None,None
autoconversion_snow_size_4194304_v2,dace,47577.0,None,None
autoconversion_snow_size_4194304_v2,dace,47349.0,None,None
autoconversion_snow_size_4194304_v2,dace,47629.0,None,None
autoconversion_snow_size_4194304_v2,dace,47485.0,None,None
autoconversion_snow_size_4194304_v2,dace,47460.0,None,None
autoconversion_snow_size_4194304_v2,fortran,94465.0,None,None
autoconversion_snow_size_4194304_v2,fortran,94659.0,None,None
autoconversion_snow_size_4194304_v2,fortran,94175.0,None,None
autoconversion_snow_size_4194304_v2,fortran,94576.0,None,None
autoconversion_snow_size_4194304_v2,fortran,94490.99999999999,None,None
autoconversion_snow_size_4194304_v2,fortran,94324.99999999999,None,None
autoconversion_snow_size_4194304_v2,fortran,94449.99999999999,None,None
autoconversion_snow_size_4194304_v2,fortran,94473.0,None,None
autoconversion_snow_size_4194304_v2,fortran,94676.0,None,None
autoconversion_snow_size_4194304_v2,fortran,94345.0,None,None
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,53965.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,54147.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,54854.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,54126.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,54257.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,54777.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,54153.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,53967.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,54315.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,54241.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_no_cpy,54324.0,4,False
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,60339.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,61366.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,61371.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,61587.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,61132.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,61150.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,60305.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,60645.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,60493.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,60796.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_4_w_cpy,60940.0,4,True
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,43579.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,44221.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,44357.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,44293.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,44233.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,44117.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,43954.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,44005.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,43954.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,43851.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_no_cpy,43434.0,8,False
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,45975.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46486.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46576.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46825.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46629.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46624.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46180.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46214.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46190.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46260.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_8_w_cpy,46113.0,8,True
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37131.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37513.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37656.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37494.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37313.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37241.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37161.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37341.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37156.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37249.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_no_cpy,37167.0,16,False
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39201.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39770.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39497.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39892.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39813.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39400.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39383.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39505.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39453.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39867.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_16_w_cpy,39121.0,16,True
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,47780.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,48219.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,48248.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,48541.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,48268.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,48020.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,48399.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,48156.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,47870.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,47620.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_no_cpy,47602.0,32,False
autoconversion_snow_size_4194304_v2,dace_vec_32_w_cpy,50151.0,32,True
autoconversion_snow_size_4194304_v2,dace_vec_32_w_cpy,50093.0,32,True
autoconversion_snow_size_4194304_v2,dace_vec_32_w_cpy,50158.0,32,True
autoconversion_snow_size_4194304_v2,dace_vec_32_w_cpy,50519.0,32,True
autoconversion_snow_size_4194304_v2,dace_vec_32_w_cpy,50232.0,32,True
