name,variant,runtime_us,vlen,cpy
autoconversion_snow_size_8388608,dace,95852.0,None,None
autoconversion_snow_size_8388608,fortran,636757.163,None,None
autoconversion_snow_size_8388608,dace,95313.0,None,None
autoconversion_snow_size_8388608,dace,95494.0,None,None
autoconversion_snow_size_8388608,dace,95772.0,None,None
autoconversion_snow_size_8388608,dace,95371.0,None,None
autoconversion_snow_size_8388608,dace,95472.0,None,None
autoconversion_snow_size_8388608,dace,95487.0,None,None
autoconversion_snow_size_8388608,dace,95614.0,None,None
autoconversion_snow_size_8388608,dace,95885.0,None,None
autoconversion_snow_size_8388608,dace,95494.0,None,None
autoconversion_snow_size_8388608,dace,95805.0,None,None
autoconversion_snow_size_8388608,fortran,635881.177,None,None
autoconversion_snow_size_8388608,fortran,635594.455,None,None
autoconversion_snow_size_8388608,fortran,636206.449,None,None
autoconversion_snow_size_8388608,fortran,635869.857,None,None
autoconversion_snow_size_8388608,fortran,636075.139,None,None
autoconversion_snow_size_8388608,fortran,635994.437,None,None
autoconversion_snow_size_8388608,fortran,635539.085,None,None
autoconversion_snow_size_8388608,fortran,636248.19,None,None
autoconversion_snow_size_8388608,fortran,636353.9400000001,None,None
autoconversion_snow_size_8388608,fortran,635469.484,None,None
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,99656.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,99753.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,99612.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,100157.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,100019.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,100075.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,99870.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,100001.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,99958.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,99606.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_no_cpy,99919.0,4,False
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,109035.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,109419.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,109527.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,108966.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,108755.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,108990.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,108921.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,108813.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,108624.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,108695.0,4,True
autoconversion_snow_size_8388608,dace_vec_4_w_cpy,108938.0,4,True
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,79905.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,80325.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,80516.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,80206.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,80343.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,79998.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,80085.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,79800.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,79824.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,79941.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_no_cpy,80251.0,8,False
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,83969.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,84601.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,84228.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,84252.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,84056.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,84141.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,84033.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,84092.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,83838.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,84057.0,8,True
autoconversion_snow_size_8388608,dace_vec_8_w_cpy,83843.0,8,True
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69003.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,70073.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69840.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69519.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69493.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69625.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69422.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69522.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69713.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69693.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_no_cpy,69594.0,16,False
autoconversion_snow_size_8388608,dace_vec_16_w_cpy,71297.0,16,True
autoconversion_snow_size_8388608,dace_vec_16_w_cpy,72156.0,16,True
autoconversion_snow_size_8388608,dace_vec_16_w_cpy,72801.0,16,True
autoconversion_snow_size_8388608,dace_vec_16_w_cpy,72165.0,16,True
autoconversion_snow_size_8388608,dace_vec_16_w_cpy,71878.0,16,True
autoconversion_snow_size_8388608,dace_vec_16_w_cpy,71741.0,16,True
autoconversion_snow_size_8388608,dace_vec_16_w_cpy,71883.0,16,True
autoconversion_snow_size_8388608,dace_vec_16_w_cpy,71911.0,16,True
autoconversion_snow_size_8388608,dace_vec_16_w_cpy,72381.0,16,True
