name,variant,runtime_us,vlen,cpy
ice_supersaturation_size_4194304_v2,dace,45922.0,None,None
ice_supersaturation_size_4194304_v2,fortran,51280.0,None,None
ice_supersaturation_size_4194304_v2,dace,46638.0,None,None
ice_supersaturation_size_4194304_v2,dace,46491.0,None,None
ice_supersaturation_size_4194304_v2,dace,46198.0,None,None
ice_supersaturation_size_4194304_v2,dace,46013.0,None,None
ice_supersaturation_size_4194304_v2,dace,45831.0,None,None
ice_supersaturation_size_4194304_v2,dace,46020.0,None,None
ice_supersaturation_size_4194304_v2,dace,45892.0,None,None
ice_supersaturation_size_4194304_v2,dace,45967.0,None,None
ice_supersaturation_size_4194304_v2,dace,46074.0,None,None
ice_supersaturation_size_4194304_v2,dace,45956.0,None,None
ice_supersaturation_size_4194304_v2,fortran,57485.99999999999,None,None
ice_supersaturation_size_4194304_v2,fortran,57472.99999999999,None,None
ice_supersaturation_size_4194304_v2,fortran,57380.99999999999,None,None
ice_supersaturation_size_4194304_v2,fortran,57210.0,None,None
ice_supersaturation_size_4194304_v2,fortran,57322.0,None,None
ice_supersaturation_size_4194304_v2,fortran,57236.99999999999,None,None
ice_supersaturation_size_4194304_v2,fortran,57252.0,None,None
ice_supersaturation_size_4194304_v2,fortran,57415.99999999999,None,None
ice_supersaturation_size_4194304_v2,fortran,57376.0,None,None
ice_supersaturation_size_4194304_v2,fortran,57218.0,None,None
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61457.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,672946.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61412.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61265.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61083.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61327.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61462.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61149.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61162.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61264.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_w_cpy,61009.0,4,True
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,58127.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,265327.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,58294.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,58013.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,58263.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,58315.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,58042.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,58105.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,57962.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,58269.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_4_no_cpy,57881.0,4,False
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39469.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,330274.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39400.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39145.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39377.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39208.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39507.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39250.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39408.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39234.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_w_cpy,39411.0,8,True
ice_supersaturation_size_4194304_v2,dace_vec_8_no_cpy,35004.0,8,False
ice_supersaturation_size_4194304_v2,dace_vec_8_no_cpy,337850.0,8,False
ice_supersaturation_size_4194304_v2,dace_vec_8_no_cpy,35460.0,8,False
ice_supersaturation_size_4194304_v2,dace_vec_8_no_cpy,35308.0,8,False
ice_supersaturation_size_4194304_v2,dace_vec_8_no_cpy,35439.0,8,False
ice_supersaturation_size_4194304_v2,dace_vec_8_no_cpy,35274.0,8,False
ice_supersaturation_size_4194304_v2,dace_vec_8_no_cpy,35493.0,8,False
ice_supersaturation_size_4194304_v2,dace_vec_8_no_cpy,35261.0,8,False
