name,variant,runtime_us,vlen,cpy
rain_evaporation_force_width_512_size_4194304_v2,dace,75833.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,132238.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,75737.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,70877.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,66299.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,61963.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,58229.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,54917.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,51988.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,49494.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,47406.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,45593.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,134923.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,134551.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,131797.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,128825.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,126109.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,123708.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,121705.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,119756.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,117748.99999999999,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,116255.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,75657.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,132695.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,73848.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,71523.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,66368.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,62162.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,58424.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,55186.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,52291.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,49768.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,47545.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,45470.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,134473.99999999997,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,133723.99999999997,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,131467.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,128666.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,126220.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,123444.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,121106.99999999999,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,119057.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,117256.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,115873.99999999999,None,None
