name,variant,runtime_us,vlen,cpy
rain_evaporation_no_vectorize_size_2097152,dace,33944.0,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,43176.972,None,None
rain_evaporation_no_vectorize_size_2097152,dace,32451.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,29996.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,27709.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,26160.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,24439.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,23159.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,21930.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,20931.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,19964.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,19099.0,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,42680.568,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,40536.665,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,36973.45,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,34401.212,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,32181.487,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,30444.036,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,28873.614999999998,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,27475.605,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,26305.577,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,25248.631,None,None
rain_evaporation_no_vectorize_size_2097152,dace,33523.0,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,42485.371,None,None
rain_evaporation_no_vectorize_size_2097152,dace,32152.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,29525.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,27495.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,25742.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,24235.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,23002.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,21778.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,20763.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,20108.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,18970.0,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,42658.131,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,40263.326,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,36972.174,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,34232.126000000004,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,32009.291,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,30255.13,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,28797.550000000003,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,27379.771,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,26227.493000000002,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,25149.496,None,None
rain_evaporation_no_vectorize_size_2097152,dace,34663.0,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,43215.847,None,None
rain_evaporation_no_vectorize_size_2097152,dace,33002.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,30474.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,28201.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,26392.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,24781.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,23445.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,22226.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,21158.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,20220.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,19412.0,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,43557.026999999995,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,40985.859,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,37571.696,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,34673.056000000004,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,32528.922000000002,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,30678.189000000002,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,29097.569,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,27720.349,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,26590.652,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,25455.774,None,None
rain_evaporation_no_vectorize_size_2097152,dace,34161.0,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,43067.609,None,None
rain_evaporation_no_vectorize_size_2097152,dace,32640.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,29991.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,27879.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,26104.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,24573.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,23214.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,22052.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,20881.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,19985.0,None,None
rain_evaporation_no_vectorize_size_2097152,dace,19207.0,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,43212.72,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,40759.774,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,37234.011,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,34492.674,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,32387.949,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,30415.096999999998,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,28924.407,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,27533.038,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,26275.060999999998,None,None
rain_evaporation_no_vectorize_size_2097152,fortran,25251.304,None,None
