name,variant,runtime_us,vlen,cpy
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,509736.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,490021.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,482502.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,483985.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,484761.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,485160.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,485199.99999999994,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,485564.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,485454.99999999994,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,485490.99999999994,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,484751.99999999994,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,484726.99999999994,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,493347.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,492989.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,491864.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,491217.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,490618.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,490195.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,489959.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,489811.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,489498.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,489363.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,489232.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,590777.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,2920896.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,587889.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,587427.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,588238.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,588425.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,587487.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,588010.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,587896.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,588227.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,587613.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace,504520.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,484162.99999999994,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,477508.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,479622.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,480019.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,480342.99999999994,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,480634.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,480504.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,480579.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,480907.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,481189.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,fortran,480936.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,493554.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,493404.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,492426.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,491253.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,491033.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,490317.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,490126.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,489932.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,489828.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,489646.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_no_cpy,489619.0,64,False
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,583058.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,4778238.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,582278.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,581845.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,581759.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,581842.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,582178.0,64,True
lu_solver_microphysics_no_vectorize_size_4194304_v3,dace_vec_64_w_cpy,582770.0,64,True
