name,variant,runtime_us,vlen,cpy
rain_evaporation_no_vectorize_size_4194304_v3,dace,66199.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,127265.99999999999,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,64693.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,58640.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,54340.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,50904.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,47979.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,45762.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,43710.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,41971.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,40456.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,39134.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,124547.99999999999,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,123075.99999999999,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,120950.99999999999,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,117299.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,115354.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,113203.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,111133.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,109593.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,107977.99999999999,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,106625.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,214625.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,3302799.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,210285.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,210249.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,210110.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,209659.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,209994.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,209741.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,209731.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,209787.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_no_cpy,209606.0,8,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,235542.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,227654.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,225751.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,227728.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,223439.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,226221.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,225912.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,225394.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,224535.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,224851.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_8_w_cpy,225842.0,8,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,185080.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,2521881.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,185720.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,184600.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,184849.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,184986.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,185984.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,184645.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,184038.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,184520.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_no_cpy,185274.0,16,False
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_w_cpy,200062.0,16,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_w_cpy,201963.0,16,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_w_cpy,199489.0,16,True
rain_evaporation_no_vectorize_size_4194304_v3,dace_vec_16_w_cpy,199301.0,16,True
