name,variant,runtime_us,vlen,cpy
autoconversion_snow_size_2097152,dace,118648.0,None,None
autoconversion_snow_size_2097152,fortran,158902.99099999998,None,None
autoconversion_snow_size_2097152,dace,119838.0,None,None
autoconversion_snow_size_2097152,dace,120256.0,None,None
autoconversion_snow_size_2097152,dace,119647.0,None,None
autoconversion_snow_size_2097152,dace,119005.0,None,None
autoconversion_snow_size_2097152,dace,118161.0,None,None
autoconversion_snow_size_2097152,dace,118644.0,None,None
autoconversion_snow_size_2097152,dace,117569.0,None,None
autoconversion_snow_size_2097152,dace,118346.0,None,None
autoconversion_snow_size_2097152,dace,118520.0,None,None
autoconversion_snow_size_2097152,dace,118418.0,None,None
autoconversion_snow_size_2097152,fortran,158530.738,None,None
autoconversion_snow_size_2097152,fortran,158174.19499999998,None,None
autoconversion_snow_size_2097152,fortran,158320.06600000002,None,None
autoconversion_snow_size_2097152,fortran,157997.204,None,None
autoconversion_snow_size_2097152,fortran,157460.891,None,None
autoconversion_snow_size_2097152,fortran,157778.733,None,None
autoconversion_snow_size_2097152,fortran,157591.372,None,None
autoconversion_snow_size_2097152,fortran,157413.47,None,None
autoconversion_snow_size_2097152,fortran,157691.273,None,None
autoconversion_snow_size_2097152,fortran,157846.123,None,None
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124406.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,125700.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,125818.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,125136.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124846.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124910.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,125033.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124116.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,123495.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124098.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,123871.0,4,False
autoconversion_snow_size_2097152,dace,118255.0,None,None
autoconversion_snow_size_2097152,fortran,158065.95200000002,None,None
autoconversion_snow_size_2097152,dace,119760.0,None,None
autoconversion_snow_size_2097152,dace,119728.0,None,None
autoconversion_snow_size_2097152,dace,118642.0,None,None
autoconversion_snow_size_2097152,dace,119296.0,None,None
autoconversion_snow_size_2097152,dace,119242.0,None,None
autoconversion_snow_size_2097152,dace,118126.0,None,None
autoconversion_snow_size_2097152,dace,118206.0,None,None
autoconversion_snow_size_2097152,dace,117654.0,None,None
autoconversion_snow_size_2097152,dace,117999.0,None,None
autoconversion_snow_size_2097152,dace,117540.0,None,None
autoconversion_snow_size_2097152,fortran,158950.548,None,None
autoconversion_snow_size_2097152,fortran,158756.437,None,None
autoconversion_snow_size_2097152,fortran,157955.612,None,None
autoconversion_snow_size_2097152,fortran,158273.793,None,None
autoconversion_snow_size_2097152,fortran,158130.513,None,None
autoconversion_snow_size_2097152,fortran,157639.68,None,None
autoconversion_snow_size_2097152,fortran,157819.401,None,None
autoconversion_snow_size_2097152,fortran,157750.65999999997,None,None
autoconversion_snow_size_2097152,fortran,157530.908,None,None
autoconversion_snow_size_2097152,fortran,158058.482,None,None
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124707.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,125403.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,125272.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124801.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,125315.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124843.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124909.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124782.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124735.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124658.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_no_cpy,124941.0,4,False
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,125968.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,126477.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,126607.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,127031.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,126299.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,125503.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,125365.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,124968.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,125699.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,126060.0,4,True
autoconversion_snow_size_2097152,dace_vec_4_w_cpy,126174.0,4,True
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,122921.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,123717.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,122972.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,123657.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,122549.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,121568.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,122258.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,121895.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,121757.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,122284.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_no_cpy,122323.0,8,False
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,124399.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,124991.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,124326.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,124829.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,123162.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,123533.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,123956.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,124366.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,123620.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,124076.0,8,True
autoconversion_snow_size_2097152,dace_vec_8_w_cpy,124141.0,8,True
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,118890.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,119872.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,119050.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,118520.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,118787.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,119304.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,118195.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,118875.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,118270.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,118161.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_no_cpy,118695.0,16,False
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,120842.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,121970.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,122066.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,121722.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,121314.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,120870.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,119938.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,120427.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,120105.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,120147.0,16,True
autoconversion_snow_size_2097152,dace_vec_16_w_cpy,119831.0,16,True
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,124990.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,127380.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,126840.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,126316.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,126257.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,125205.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,124605.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,125482.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,124829.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,124768.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_no_cpy,124426.0,32,False
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,124853.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,125110.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,125124.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,124402.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,124648.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,124516.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,124773.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,124769.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,124731.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,124474.0,32,True
autoconversion_snow_size_2097152,dace_vec_32_w_cpy,124324.0,32,True
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,130423.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,131636.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,131669.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,131044.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,130568.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,129562.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,131196.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,129779.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,129678.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,130034.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_no_cpy,130259.0,64,False
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,127444.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,126821.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,127309.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,128161.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,127495.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,127179.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,126439.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,126316.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,126366.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,126318.0,64,True
autoconversion_snow_size_2097152,dace_vec_64_w_cpy,126821.0,64,True
autoconversion_snow_size_2097152,dace,117490.0,None,None
autoconversion_snow_size_2097152,fortran,157180.478,None,None
autoconversion_snow_size_2097152,dace,117696.0,None,None
autoconversion_snow_size_2097152,dace,117616.0,None,None
autoconversion_snow_size_2097152,dace,117631.0,None,None
autoconversion_snow_size_2097152,dace,117264.0,None,None
autoconversion_snow_size_2097152,dace,117300.0,None,None
autoconversion_snow_size_2097152,dace,117342.0,None,None
autoconversion_snow_size_2097152,dace,117510.0,None,None
autoconversion_snow_size_2097152,dace,117455.0,None,None
autoconversion_snow_size_2097152,dace,117324.0,None,None
autoconversion_snow_size_2097152,dace,117401.0,None,None
autoconversion_snow_size_2097152,fortran,157432.819,None,None
autoconversion_snow_size_2097152,fortran,157165.157,None,None
autoconversion_snow_size_2097152,fortran,157204.15800000002,None,None
autoconversion_snow_size_2097152,fortran,157176.67799999999,None,None
autoconversion_snow_size_2097152,fortran,157116.337,None,None
