name,variant,runtime_us,vlen,cpy
ice_supersaturation_libmvec_size_4194304_v3,dace,42889.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,51710.349,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42970.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42747.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42725.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42703.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42770.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42617.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42801.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42757.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42805.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace,42814.0,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,55181.132,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,55038.172000000006,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,54904.37,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,55254.423,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,54902.111000000004,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,54914.3,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,55181.403000000006,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,54986.46200000001,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,54868.401000000005,None,None
ice_supersaturation_libmvec_size_4194304_v3,fortran,54909.520000000004,None,None
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,60243.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,1014720.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,61110.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,61258.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,61294.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,60976.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,60995.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,61070.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,61331.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,61187.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_w_cpy,60809.0,4,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58570.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,276298.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58513.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58547.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58443.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58614.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58651.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58677.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58673.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58515.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_4_no_cpy,58404.0,4,False
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,39378.0,8,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,271185.0,8,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,39614.0,8,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,39417.0,8,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,39756.0,8,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,39348.0,8,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,39733.0,8,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,39524.0,8,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,39950.0,8,True
ice_supersaturation_libmvec_size_4194304_v3,dace_vec_8_w_cpy,39398.0,8,True
