name,variant,runtime_us,vlen,cpy
rain_evaporation_no_vectorize_size_4194304_v3,dace,143605.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,90099.16000000002,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,139636.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,129513.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,121998.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,115886.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,111325.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,106811.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,103300.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,100291.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,97728.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,95722.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,90602.925,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,86800.34,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,80135.68800000001,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,74470.69200000001,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,69109.43800000001,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,64757.971,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,61002.96600000001,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,57850.77700000001,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,55051.029,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,52468.783,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,144068.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,90438.56800000001,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,140428.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,131224.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,123420.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,117647.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,111726.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,107876.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,104205.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,101583.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,98442.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,dace,96354.0,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,91091.352,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,86870.365,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,80106.372,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,74434.566,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,69227.95300000001,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,64954.725000000006,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,61167.181000000004,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,58077.261000000006,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,55064.421,None,None
rain_evaporation_no_vectorize_size_4194304_v3,fortran,52487.096000000005,None,None
