name,variant,runtime_us,vlen,cpy
rain_evaporation_size_4194304_v3,dace,143844.0,None,None
rain_evaporation_size_4194304_v3,fortran,95829.97300000001,None,None
rain_evaporation_size_4194304_v3,dace,141249.0,None,None
rain_evaporation_size_4194304_v3,dace,130223.0,None,None
rain_evaporation_size_4194304_v3,dace,123231.0,None,None
rain_evaporation_size_4194304_v3,dace,116692.0,None,None
rain_evaporation_size_4194304_v3,dace,111858.0,None,None
rain_evaporation_size_4194304_v3,dace,106956.0,None,None
rain_evaporation_size_4194304_v3,dace,103328.0,None,None
rain_evaporation_size_4194304_v3,dace,100368.0,None,None
rain_evaporation_size_4194304_v3,dace,97846.0,None,None
rain_evaporation_size_4194304_v3,dace,95528.0,None,None
rain_evaporation_size_4194304_v3,fortran,91886.71800000001,None,None
rain_evaporation_size_4194304_v3,fortran,87462.21900000001,None,None
rain_evaporation_size_4194304_v3,fortran,80398.1,None,None
rain_evaporation_size_4194304_v3,fortran,74692.331,None,None
rain_evaporation_size_4194304_v3,fortran,69105.98300000001,None,None
rain_evaporation_size_4194304_v3,fortran,65015.854,None,None
rain_evaporation_size_4194304_v3,fortran,60902.186,None,None
rain_evaporation_size_4194304_v3,fortran,57724.065,None,None
rain_evaporation_size_4194304_v3,fortran,55196.278,None,None
rain_evaporation_size_4194304_v3,fortran,52352.868,None,None
rain_evaporation_size_4194304_v3,dace,144464.0,None,None
rain_evaporation_size_4194304_v3,fortran,89893.27100000001,None,None
rain_evaporation_size_4194304_v3,dace,140131.0,None,None
rain_evaporation_size_4194304_v3,dace,130616.0,None,None
rain_evaporation_size_4194304_v3,dace,122290.0,None,None
rain_evaporation_size_4194304_v3,dace,116529.0,None,None
rain_evaporation_size_4194304_v3,dace,111586.0,None,None
rain_evaporation_size_4194304_v3,dace,107246.0,None,None
rain_evaporation_size_4194304_v3,dace,104031.0,None,None
rain_evaporation_size_4194304_v3,dace,101055.0,None,None
rain_evaporation_size_4194304_v3,dace,98540.0,None,None
rain_evaporation_size_4194304_v3,dace,96154.0,None,None
rain_evaporation_size_4194304_v3,fortran,91083.68900000001,None,None
rain_evaporation_size_4194304_v3,fortran,87087.373,None,None
rain_evaporation_size_4194304_v3,fortran,80380.179,None,None
rain_evaporation_size_4194304_v3,fortran,74092.93900000001,None,None
rain_evaporation_size_4194304_v3,fortran,69252.87700000001,None,None
rain_evaporation_size_4194304_v3,fortran,64899.29,None,None
rain_evaporation_size_4194304_v3,fortran,61007.705,None,None
rain_evaporation_size_4194304_v3,fortran,57793.464,None,None
rain_evaporation_size_4194304_v3,fortran,54986.916000000005,None,None
rain_evaporation_size_4194304_v3,fortran,52588.93000000001,None,None
