name,variant,runtime_us,vlen,cpy
saturation_calculation_no_vectorize_v3,dace,1032210.0,None,None
saturation_calculation_no_vectorize_v3,fortran,1017683.0060000002,None,None
saturation_calculation_no_vectorize_v3,dace,1034732.0,None,None
saturation_calculation_no_vectorize_v3,dace,1032101.0,None,None
saturation_calculation_no_vectorize_v3,dace,1031162.0,None,None
saturation_calculation_no_vectorize_v3,dace,1029353.0,None,None
saturation_calculation_no_vectorize_v3,dace,1033778.0,None,None
saturation_calculation_no_vectorize_v3,dace,1034439.0,None,None
saturation_calculation_no_vectorize_v3,dace,1034293.0,None,None
saturation_calculation_no_vectorize_v3,dace,1029881.0,None,None
saturation_calculation_no_vectorize_v3,dace,1030543.0,None,None
saturation_calculation_no_vectorize_v3,dace,1034014.0,None,None
saturation_calculation_no_vectorize_v3,fortran,1023788.414,None,None
saturation_calculation_no_vectorize_v3,fortran,1017857.9060000002,None,None
saturation_calculation_no_vectorize_v3,fortran,1017140.6620000001,None,None
saturation_calculation_no_vectorize_v3,fortran,1018906.2829999999,None,None
saturation_calculation_no_vectorize_v3,fortran,1020560.724,None,None
saturation_calculation_no_vectorize_v3,fortran,1020108.3600000001,None,None
saturation_calculation_no_vectorize_v3,fortran,1021180.7170000001,None,None
saturation_calculation_no_vectorize_v3,fortran,1016569.099,None,None
saturation_calculation_no_vectorize_v3,fortran,1018509.361,None,None
saturation_calculation_no_vectorize_v3,fortran,1017336.1330000001,None,None
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,1034437.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,994680.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,994907.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,994965.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,995235.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,994662.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,994876.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,994473.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,994337.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,995184.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_w_cpy,994955.0,4,True
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,957919.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,963827.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,961053.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,959492.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,958337.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,958252.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,955871.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,958435.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,958188.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,954174.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_4_no_cpy,957664.0,4,False
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,894138.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,904644.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,898860.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,899631.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,898001.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,900512.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,897975.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,901766.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,900288.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,897062.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_w_cpy,896971.0,8,True
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,843843.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,845649.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,848282.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,845122.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,847100.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,846832.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,842077.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,846225.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,847224.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,846206.0,8,False
saturation_calculation_no_vectorize_v3,dace_vec_8_no_cpy,845673.0,8,False
