name,variant,runtime_us,vlen,cpy
autoconversion_snow_no_vectorize_size_4194304,dace,63978.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,64209.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63356.0,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73868.911,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63380.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63094.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63223.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63222.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63174.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63160.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63142.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63167.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63157.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63142.0,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73608.50300000001,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73740.01800000001,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73689.461,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73872.751,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73731.283,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73688.084,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73726.227,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73669.58899999999,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73681.909,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73663.766,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63442.0,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73951.639,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63454.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63127.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63210.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63187.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63192.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63331.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63255.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63243.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63162.0,None,None
autoconversion_snow_no_vectorize_size_4194304,dace,63198.0,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73775.549,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73776.829,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73800.348,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73782.45999999999,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73755.422,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73885.754,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73799.90000000001,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73801.404,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73779.324,None,None
autoconversion_snow_no_vectorize_size_4194304,fortran,73799.99600000001,None,None
