name,variant,runtime_us,vlen,cpy
autoconversion_snow_size_4194304,dace,72473.0,None,None
autoconversion_snow_size_4194304,dace,64297.0,None,None
autoconversion_snow_size_4194304,dace,63403.0,None,None
autoconversion_snow_size_4194304,fortran,73840.293,None,None
autoconversion_snow_size_4194304,dace,63305.0,None,None
autoconversion_snow_size_4194304,dace,63107.0,None,None
autoconversion_snow_size_4194304,dace,63134.0,None,None
autoconversion_snow_size_4194304,dace,63128.0,None,None
autoconversion_snow_size_4194304,dace,63154.0,None,None
autoconversion_snow_size_4194304,dace,63185.0,None,None
autoconversion_snow_size_4194304,dace,63163.0,None,None
autoconversion_snow_size_4194304,dace,63143.0,None,None
autoconversion_snow_size_4194304,dace,63153.0,None,None
autoconversion_snow_size_4194304,dace,63151.0,None,None
autoconversion_snow_size_4194304,fortran,73717.641,None,None
autoconversion_snow_size_4194304,fortran,73676.33,None,None
autoconversion_snow_size_4194304,fortran,73683.017,None,None
autoconversion_snow_size_4194304,fortran,73700.00899999999,None,None
autoconversion_snow_size_4194304,fortran,73670.698,None,None
autoconversion_snow_size_4194304,fortran,73661.514,None,None
autoconversion_snow_size_4194304,fortran,73799.65400000001,None,None
autoconversion_snow_size_4194304,fortran,73656.106,None,None
autoconversion_snow_size_4194304,fortran,73700.617,None,None
autoconversion_snow_size_4194304,fortran,73611.212,None,None
autoconversion_snow_size_4194304,dace,63410.0,None,None
autoconversion_snow_size_4194304,fortran,73863.978,None,None
autoconversion_snow_size_4194304,dace,63379.0,None,None
autoconversion_snow_size_4194304,dace,63083.0,None,None
autoconversion_snow_size_4194304,dace,63145.0,None,None
autoconversion_snow_size_4194304,dace,63193.0,None,None
autoconversion_snow_size_4194304,dace,63156.0,None,None
autoconversion_snow_size_4194304,dace,63142.0,None,None
autoconversion_snow_size_4194304,dace,63153.0,None,None
autoconversion_snow_size_4194304,dace,63178.0,None,None
autoconversion_snow_size_4194304,dace,63168.0,None,None
autoconversion_snow_size_4194304,dace,63205.0,None,None
autoconversion_snow_size_4194304,fortran,73676.528,None,None
autoconversion_snow_size_4194304,fortran,73692.431,None,None
autoconversion_snow_size_4194304,fortran,73688.368,None,None
autoconversion_snow_size_4194304,fortran,73633.97,None,None
autoconversion_snow_size_4194304,fortran,73659.72799999999,None,None
autoconversion_snow_size_4194304,fortran,73654.864,None,None
autoconversion_snow_size_4194304,fortran,73675.728,None,None
autoconversion_snow_size_4194304,fortran,73639.568,None,None
autoconversion_snow_size_4194304,fortran,73674.671,None,None
autoconversion_snow_size_4194304,fortran,73654.258,None,None
