name,variant,runtime_us,vlen,cpy
lu_solver_microphysics_no_vectorize_size_4194304,dace,224469.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,227542.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,225965.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,220387.829,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,224901.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,224108.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,224446.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,224111.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,223273.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,223819.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,223490.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,223279.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,222889.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,224080.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219801.12800000003,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219507.79200000002,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219453.266,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219405.747,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,218846.596,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219504.848,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219654.7,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219344.757,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219480.114,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219053.98200000002,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,224030.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217638.052,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,221902.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,220273.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,218862.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219707.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219583.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,220518.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219411.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,220020.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219922.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219946.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217632.549,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217194.77000000002,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217190.546,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217060.437,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217562.663,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217149.3,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217112.75699999998,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,216361.547,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217155.347,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217143.828,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,222353.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,216118.031,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219702.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,218932.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219415.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219560.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219350.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,218957.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,219279.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,218969.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,218868.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,218369.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,215210.222,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,214669.984,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,215065.87399999998,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,215081.587,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,215201.55099999998,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,215057.747,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,214715.742,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,215019.476,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,214964.471,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,215117.905,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,221523.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217768.429,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,223077.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,222922.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,222614.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,222462.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,281343.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,229228.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,222735.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,222637.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,222801.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,dace,223025.0,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217561.045,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217112.899,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217396.185,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217334.39700000003,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219445.363,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217034.72600000002,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,218304.123,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,217266.52699999997,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,219904.035,None,None
lu_solver_microphysics_no_vectorize_size_4194304,fortran,216992.679,None,None
