name,variant,runtime_us,vlen,cpy
lu_solver_microphysics_size_33554432,dace,3429890.0,None,None
lu_solver_microphysics_size_33554432,fortran,2074061.1430000002,None,None
lu_solver_microphysics_size_33554432,fortran,2190625.8200000003,None,None
lu_solver_microphysics_size_33554432,fortran,2104474.813,None,None
lu_solver_microphysics_size_33554432,fortran,2104115.69,None,None
lu_solver_microphysics_size_33554432,fortran,2141273.966,None,None
lu_solver_microphysics_size_33554432,fortran,2106157.349,None,None
lu_solver_microphysics_size_33554432,fortran,2072003.895,None,None
lu_solver_microphysics_size_33554432,fortran,2124008.728,None,None
lu_solver_microphysics_size_33554432,fortran,2150898.986,None,None
lu_solver_microphysics_size_33554432,fortran,2138632.73,None,None
lu_solver_microphysics_size_33554432,fortran,2112594.797,None,None
