name,variant,runtime_us,vlen,cpy
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,74939.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,31374.502999999997,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,80483.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,75320.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,73791.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,72107.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,71636.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,71397.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,68631.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,67578.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,67776.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace,65456.0,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,30536.734,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,37550.725,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,38360.015999999996,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,36481.474,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,34158.75,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,32459.307,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,30913.459000000003,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,30019.435,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,28391.382,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,fortran,27635.913,None,None
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,908042.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,912521.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,910444.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,909100.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,908695.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,909031.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,910198.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,909743.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,910379.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,909430.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_no_cpy,910287.0,2,False
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_w_cpy,935871.0,2,True
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_w_cpy,931462.0,2,True
rain_evaporation_intrinsic_sve_size_4194304_v3,dace_vec_2_w_cpy,928432.0,2,True
