name,variant,runtime_us,vlen,cpy
rain_evaporation_no_vectorize_size_4194304,dace,66630.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,30345.386,None,None
rain_evaporation_no_vectorize_size_4194304,dace,65538.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,64190.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,65013.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,62546.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,62241.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,61188.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,59926.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,59359.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,59121.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,57584.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,32041.232000000004,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,29058.23,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,29815.932,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,30258.316,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,29271.183,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27735.459,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27032.283,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,25479.697,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,25103.199,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,24254.971,None,None
rain_evaporation_no_vectorize_size_4194304,dace,66754.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,32048.749,None,None
rain_evaporation_no_vectorize_size_4194304,dace,72341.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,65405.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,70841.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,65532.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,64517.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,64080.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,63526.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,61436.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,59746.0,None,None
rain_evaporation_no_vectorize_size_4194304,dace,59508.0,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,34469.048,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,34003.081999999995,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,34705.072,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,33056.65,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,31646.426,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,30368.807,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,28889.305,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,27823.071,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,26442.03,None,None
rain_evaporation_no_vectorize_size_4194304,fortran,25396.21,None,None
