name,variant,runtime_us,vlen,cpy
rain_evaporation_size_33554432,dace,554174.0,None,None
rain_evaporation_size_33554432,fortran,636439.819,None,None
rain_evaporation_size_33554432,dace,554983.0,None,None
rain_evaporation_size_33554432,dace,563723.0,None,None
rain_evaporation_size_33554432,dace,568544.0,None,None
rain_evaporation_size_33554432,dace,562115.0,None,None
rain_evaporation_size_33554432,dace,558685.0,None,None
rain_evaporation_size_33554432,dace,552068.0,None,None
rain_evaporation_size_33554432,dace,551965.0,None,None
rain_evaporation_size_33554432,dace,538582.0,None,None
rain_evaporation_size_33554432,dace,527811.0,None,None
rain_evaporation_size_33554432,dace,523363.0,None,None
rain_evaporation_size_33554432,fortran,519422.782,None,None
rain_evaporation_size_33554432,fortran,510330.99000000005,None,None
rain_evaporation_size_33554432,fortran,524906.502,None,None
rain_evaporation_size_33554432,fortran,542813.5499999999,None,None
rain_evaporation_size_33554432,fortran,540747.027,None,None
rain_evaporation_size_33554432,fortran,529409.935,None,None
rain_evaporation_size_33554432,fortran,519541.46499999997,None,None
rain_evaporation_size_33554432,fortran,509121.783,None,None
rain_evaporation_size_33554432,fortran,489496.553,None,None
rain_evaporation_size_33554432,fortran,485309.078,None,None
