name,variant,runtime_us,vlen,cpy
ice_supersaturation_size_4194304_v3,dace,43003.0,None,None
ice_supersaturation_size_4194304_v3,fortran,50287.658,None,None
ice_supersaturation_size_4194304_v3,dace,42866.0,None,None
ice_supersaturation_size_4194304_v3,dace,43014.0,None,None
ice_supersaturation_size_4194304_v3,dace,43067.0,None,None
ice_supersaturation_size_4194304_v3,dace,42571.0,None,None
ice_supersaturation_size_4194304_v3,dace,43092.0,None,None
ice_supersaturation_size_4194304_v3,dace,42355.0,None,None
ice_supersaturation_size_4194304_v3,dace,42976.0,None,None
ice_supersaturation_size_4194304_v3,dace,42702.0,None,None
ice_supersaturation_size_4194304_v3,dace,43000.0,None,None
ice_supersaturation_size_4194304_v3,dace,42639.0,None,None
ice_supersaturation_size_4194304_v3,fortran,50319.636,None,None
ice_supersaturation_size_4194304_v3,fortran,49722.994000000006,None,None
ice_supersaturation_size_4194304_v3,fortran,49843.122,None,None
ice_supersaturation_size_4194304_v3,fortran,49637.340000000004,None,None
ice_supersaturation_size_4194304_v3,fortran,49934.94,None,None
ice_supersaturation_size_4194304_v3,fortran,49624.209,None,None
ice_supersaturation_size_4194304_v3,fortran,49781.708,None,None
ice_supersaturation_size_4194304_v3,fortran,49947.641,None,None
ice_supersaturation_size_4194304_v3,fortran,49613.177,None,None
ice_supersaturation_size_4194304_v3,fortran,49865.237,None,None
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58222.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58114.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58463.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58148.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58593.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58190.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58857.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58425.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,59159.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,57714.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_w_cpy,58367.0,8,True
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,72931.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,73449.0,8,False
ice_supersaturation_size_4194304_v3,dace_vec_8_no_cpy,71668.0,8,False
