name,variant,runtime_us,vlen,cpy
rain_evaporation_force_width_512_size_4194304_v2,dace,124446.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,84034.319,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,120547.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,110982.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,104344.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,99241.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,95092.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,91857.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,89109.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,86767.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,84920.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,83273.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,84485.929,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,78377.975,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,71404.93100000001,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,65226.198,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,60328.863000000005,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,56340.673,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,53117.239,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,50391.769,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,48027.217000000004,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,46098.652,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,124638.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,85731.04100000001,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,120629.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,111981.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,105127.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,99925.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,95756.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,92437.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,89794.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,87377.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,85368.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,dace,83608.0,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,84173.922,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,78334.02100000001,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,71439.513,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,65214.50200000001,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,60292.683000000005,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,56210.613000000005,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,52891.144,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,50216.758,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,47916.101,None,None
rain_evaporation_force_width_512_size_4194304_v2,fortran,45953.17600000001,None,None
