name,variant,runtime_us,vlen,cpy
rain_evaporation_size_4194304_v2,dace,124294.0,None,None
rain_evaporation_size_4194304_v2,fortran,84244.937,None,None
rain_evaporation_size_4194304_v2,dace,120976.0,None,None
rain_evaporation_size_4194304_v2,dace,111883.0,None,None
rain_evaporation_size_4194304_v2,dace,105325.0,None,None
rain_evaporation_size_4194304_v2,dace,100038.0,None,None
rain_evaporation_size_4194304_v2,dace,96035.0,None,None
rain_evaporation_size_4194304_v2,dace,92650.0,None,None
rain_evaporation_size_4194304_v2,dace,89900.0,None,None
rain_evaporation_size_4194304_v2,dace,87512.0,None,None
rain_evaporation_size_4194304_v2,dace,85289.0,None,None
rain_evaporation_size_4194304_v2,dace,83527.0,None,None
rain_evaporation_size_4194304_v2,fortran,84825.98700000001,None,None
rain_evaporation_size_4194304_v2,fortran,78879.285,None,None
rain_evaporation_size_4194304_v2,fortran,71773.30900000001,None,None
rain_evaporation_size_4194304_v2,fortran,65662.156,None,None
rain_evaporation_size_4194304_v2,fortran,60669.035,None,None
rain_evaporation_size_4194304_v2,fortran,56687.068,None,None
rain_evaporation_size_4194304_v2,fortran,53415.752,None,None
rain_evaporation_size_4194304_v2,fortran,50612.762,None,None
rain_evaporation_size_4194304_v2,fortran,48254.770000000004,None,None
rain_evaporation_size_4194304_v2,fortran,46288.726,None,None
rain_evaporation_size_4194304_v2,dace,124329.0,None,None
rain_evaporation_size_4194304_v2,fortran,84182.17500000002,None,None
rain_evaporation_size_4194304_v2,dace,120823.0,None,None
rain_evaporation_size_4194304_v2,dace,111782.0,None,None
rain_evaporation_size_4194304_v2,dace,105142.0,None,None
rain_evaporation_size_4194304_v2,dace,99974.0,None,None
rain_evaporation_size_4194304_v2,dace,95917.0,None,None
rain_evaporation_size_4194304_v2,dace,92683.0,None,None
rain_evaporation_size_4194304_v2,dace,89944.0,None,None
rain_evaporation_size_4194304_v2,dace,87338.0,None,None
rain_evaporation_size_4194304_v2,dace,85335.0,None,None
rain_evaporation_size_4194304_v2,dace,83524.0,None,None
rain_evaporation_size_4194304_v2,fortran,86722.84700000001,None,None
rain_evaporation_size_4194304_v2,fortran,78606.956,None,None
rain_evaporation_size_4194304_v2,fortran,71654.679,None,None
rain_evaporation_size_4194304_v2,fortran,65358.182,None,None
rain_evaporation_size_4194304_v2,fortran,60380.23100000001,None,None
rain_evaporation_size_4194304_v2,fortran,56423.32000000001,None,None
rain_evaporation_size_4194304_v2,fortran,53283.965000000004,None,None
rain_evaporation_size_4194304_v2,fortran,50263.111000000004,None,None
rain_evaporation_size_4194304_v2,fortran,48032.531,None,None
rain_evaporation_size_4194304_v2,fortran,45936.482,None,None
