sdfg_name,size,rep,time_seconds
cloudsc_pattern_1,8192,0,519
cloudsc_pattern_1,8192,1,511
cloudsc_pattern_1,8192,2,514
cloudsc_pattern_1,8192,3,526
cloudsc_pattern_1,8192,4,521
cloudsc_pattern_1,8192,5,506
cloudsc_pattern_1,8192,6,499
cloudsc_pattern_1,8192,7,496
cloudsc_pattern_1,8192,8,498
cloudsc_pattern_1,8192,9,499
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,0,214
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,1,208
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,2,210
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,3,208
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,4,209
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,5,207
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,6,206
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,7,209
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,8,206
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,9,207
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,0,247
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,1,259
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,2,213
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,3,213
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,4,210
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,5,212
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,6,270
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,7,231
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,8,217
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,9,239
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,0,401
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,1,315
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,2,306
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,3,303
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,4,303
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,5,304
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,6,306
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,7,304
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,8,366
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,9,332
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,0,384
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,1,389
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,2,384
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,3,383
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,4,394
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,5,388
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,6,387
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,7,382
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,8,385
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,9,387
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,0,290
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,1,282
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,2,286
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,3,281
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,4,283
