sdfg_name,size,rep,time_seconds
cloudsc_pattern_1,1048576,0,28648
cloudsc_pattern_1,1048576,1,28143
cloudsc_pattern_1,1048576,2,28476
cloudsc_pattern_1,1048576,3,28306
cloudsc_pattern_1,1048576,4,28551
cloudsc_pattern_1,1048576,5,28064
cloudsc_pattern_1,1048576,6,28317
cloudsc_pattern_1,1048576,7,28035
cloudsc_pattern_1,1048576,8,28404
cloudsc_pattern_1,1048576,9,27872
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,0,54478
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,1,55155
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,2,54375
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,3,54490
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,4,54705
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,5,54536
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,6,54784
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,7,54553
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,8,54596
cloudsc_pattern_1_vectorized_static_veclen_2_no_cpy,1048576,9,55200
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,0,39709
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,1,40926
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,2,49687
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,3,40564
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,4,40582
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,5,40440
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,6,40873
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,7,40825
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,8,40721
cloudsc_pattern_1_vectorized_static_veclen_4_no_cpy,1048576,9,40672
