sdfg_name,size,rep,time_seconds
cloudsc_pattern_one,4718592,0,248675
cloudsc_pattern_one,4718592,1,249837
cloudsc_pattern_one,4718592,2,249481
cloudsc_pattern_one,4718592,3,249625
cloudsc_pattern_one,4718592,4,249030
cloudsc_pattern_one,4718592,5,249030
cloudsc_pattern_one,4718592,6,248824
cloudsc_pattern_one,4718592,7,249208
cloudsc_pattern_one,4718592,8,249140
cloudsc_pattern_one,4718592,9,248565
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,0,352651
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,1,353189
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,2,352688
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,3,352546
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,4,353209
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,5,353934
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,6,354726
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,7,353318
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,8,352684
cloudsc_pattern_one_g__force_width_512_veclen_8_no_cpy,4718592,9,353395
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,0,278498
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,1,278168
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,2,278932
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,3,278920
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,4,281350
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,5,281930
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,6,278274
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,7,278234
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,8,277935
cloudsc_pattern_one_g__force_width_512_veclen_8_cpy,4718592,9,279068
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,0,322156
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,1,322553
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,2,322731
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,3,321790
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,4,322515
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,5,323924
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,6,321529
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,7,322485
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,8,322795
cloudsc_pattern_one_g__force_width_512_veclen_16_no_cpy,4718592,9,322770
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,0,243204
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,1,242146
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,2,242896
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,3,244005
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,4,242373
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,5,244411
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,6,242314
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,7,242237
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,8,242523
cloudsc_pattern_one_g__force_width_512_veclen_16_cpy,4718592,9,244610
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,0,321739
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,1,324068
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,2,322740
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,3,323727
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,4,321800
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,5,322389
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,6,322587
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,7,321751
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,8,321242
cloudsc_pattern_one_g__force_width_512_veclen_32_no_cpy,4718592,9,321414
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,0,305017
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,1,305280
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,2,305145
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,3,304868
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,4,305189
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,5,304871
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,6,304838
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,7,306331
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,8,305343
cloudsc_pattern_one_g__force_width_512_veclen_32_cpy,4718592,9,306273
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,0,303861
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,1,305259
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,2,304285
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,3,304114
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,4,304054
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,5,304507
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,6,304417
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,7,304807
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,8,304954
cloudsc_pattern_one_g__force_width_512_veclen_64_no_cpy,4718592,9,304148
cloudsc_pattern_one_g__force_width_512_veclen_64_cpy,4718592,0,318947
cloudsc_pattern_one_g__force_width_512_veclen_64_cpy,4718592,1,319292
