sdfg_name,size,rep,time_seconds
cloudsc_pattern_one,4718592,0,210789
cloudsc_pattern_one,4718592,1,209398
cloudsc_pattern_one,4718592,2,206315
cloudsc_pattern_one,4718592,3,205688
cloudsc_pattern_one,4718592,4,202190
cloudsc_pattern_one,4718592,5,198902
cloudsc_pattern_one,4718592,6,196942
cloudsc_pattern_one,4718592,7,193812
cloudsc_pattern_one,4718592,8,189135
cloudsc_pattern_one,4718592,9,187570
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,0,619567
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,1,617101
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,2,613964
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,3,613750
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,4,612659
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,5,610279
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,6,615880
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,7,619976
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,8,609166
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_no_cpy,4718592,9,609041
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,0,643076
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,1,638362
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,2,639162
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,3,639594
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,4,639690
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,5,638586
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,6,642562
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,7,637242
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,8,636316
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_2_cpy,4718592,9,633342
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,0,407605
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,1,403962
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,2,405561
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,3,407612
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,4,409150
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,5,409313
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,6,417550
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,7,411467
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,8,414879
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_no_cpy,4718592,9,410611
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,0,436282
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,1,432934
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,2,440174
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,3,434436
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,4,434033
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,5,431361
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,6,430642
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,7,430984
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,8,434582
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_4_cpy,4718592,9,430450
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,0,316975
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,1,315158
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,2,313469
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,3,313907
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,4,314419
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,5,314904
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,6,313622
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,7,312634
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,8,313359
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_no_cpy,4718592,9,310371
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_cpy,4718592,0,319574
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_cpy,4718592,1,317882
cloudsc_pattern_one_graceclang__intrinsic_sve_veclen_8_cpy,4718592,2,317985
