sdfg_name,size,rep,time_seconds
cloudsc_pattern_one,4718592,0,206187
cloudsc_pattern_one,4718592,1,197120
cloudsc_pattern_one,4718592,2,188584
cloudsc_pattern_one,4718592,3,180249
cloudsc_pattern_one,4718592,4,183552
cloudsc_pattern_one,4718592,5,170983
cloudsc_pattern_one,4718592,6,167187
cloudsc_pattern_one,4718592,7,165653
cloudsc_pattern_one,4718592,8,163212
cloudsc_pattern_one,4718592,9,160933
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,0,246123
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,1,240506
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,2,240371
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,3,239026
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,4,237782
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,5,235499
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,6,234183
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,7,231800
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,8,230341
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_no_cpy,4718592,9,228650
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,0,252347
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,1,250194
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,2,251986
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,3,251663
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,4,253037
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,5,256262
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,6,248214
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,7,248406
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,8,244489
cloudsc_pattern_one_graceclang__no_vectorize_veclen_2_cpy,4718592,9,244521
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,0,215897
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,1,211053
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,2,210420
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,3,209426
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,4,208100
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,5,208213
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,6,211827
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,7,207521
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,8,209257
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_no_cpy,4718592,9,204850
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,0,223051
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,1,224632
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,2,224521
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,3,229477
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,4,221578
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,5,225444
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,6,225283
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,7,225176
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,8,225592
cloudsc_pattern_one_graceclang__no_vectorize_veclen_4_cpy,4718592,9,220213
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,0,173683
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,1,172031
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,2,171547
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,3,170802
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,4,170739
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,5,172323
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,6,171397
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,7,171118
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,8,170885
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_no_cpy,4718592,9,170050
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,0,187294
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,1,183435
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,2,183632
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,3,186452
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,4,184640
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,5,184772
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,6,184175
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,7,183567
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,8,184264
cloudsc_pattern_one_graceclang__no_vectorize_veclen_8_cpy,4718592,9,182821
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,0,160578
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,1,157453
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,2,156515
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,3,156557
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,4,156232
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,5,164725
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,6,169765
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,7,160882
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,8,157132
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_no_cpy,4718592,9,154974
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,0,165726
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,1,163992
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,2,163119
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,3,163106
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,4,162789
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,5,162928
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,6,162114
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,7,162336
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,8,161981
cloudsc_pattern_one_graceclang__no_vectorize_veclen_16_cpy,4718592,9,161171
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,0,187441
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,1,182738
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,2,178025
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,3,169459
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,4,183486
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,5,182993
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,6,182197
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,7,182290
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,8,180345
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_no_cpy,4718592,9,175901
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,0,184585
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,1,184646
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,2,184265
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,3,183770
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,4,185113
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,5,182082
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,6,182769
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,7,183049
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,8,181739
cloudsc_pattern_one_graceclang__no_vectorize_veclen_32_cpy,4718592,9,180866
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,0,209476
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,1,210314
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,2,205037
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,3,207441
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,4,205022
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,5,210885
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,6,203039
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,7,205701
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,8,204756
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_no_cpy,4718592,9,202271
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,0,212952
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,1,216022
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,2,210918
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,3,210517
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,4,210599
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,5,209761
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,6,209501
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,7,209841
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,8,209868
cloudsc_pattern_one_graceclang__no_vectorize_veclen_64_cpy,4718592,9,209369
