sdfg_name,size,rep,time_seconds
cloudsc_pattern_one,4718592,0,203277
cloudsc_pattern_one,4718592,1,197658
cloudsc_pattern_one,4718592,2,192925
cloudsc_pattern_one,4718592,3,188956
cloudsc_pattern_one,4718592,4,183428
cloudsc_pattern_one,4718592,5,179808
cloudsc_pattern_one,4718592,6,177171
cloudsc_pattern_one,4718592,7,175273
cloudsc_pattern_one,4718592,8,173103
cloudsc_pattern_one,4718592,9,170116
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,0,250245
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,1,244791
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,2,245457
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,3,246509
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,4,259151
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,5,241531
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,6,240326
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,7,237094
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,8,234970
cloudsc_pattern_one_graceclang__veclen_2_no_cpy,4718592,9,232458
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,0,255275
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,1,254735
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,2,253979
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,3,257086
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,4,257071
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,5,256436
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,6,256426
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,7,255141
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,8,252914
cloudsc_pattern_one_graceclang__veclen_2_cpy,4718592,9,250943
cloudsc_pattern_one_graceclang__veclen_4_no_cpy,4718592,0,218506
cloudsc_pattern_one_graceclang__veclen_4_no_cpy,4718592,1,213958
cloudsc_pattern_one_graceclang__veclen_4_no_cpy,4718592,2,213542
cloudsc_pattern_one_graceclang__veclen_4_no_cpy,4718592,3,216837
cloudsc_pattern_one_graceclang__veclen_4_no_cpy,4718592,4,216562
