sdfg_name,size,rep,time_seconds
cloudsc_pattern_one,4718592,0,13837
cloudsc_pattern_one,4718592,1,18330
cloudsc_pattern_one,4718592,2,15465
cloudsc_pattern_one,4718592,3,18329
cloudsc_pattern_one,4718592,4,18411
cloudsc_pattern_one,4718592,5,15051
cloudsc_pattern_one,4718592,6,18396
cloudsc_pattern_one,4718592,7,17328
cloudsc_pattern_one,4718592,8,15270
cloudsc_pattern_one,4718592,9,18390
cloudsc_pattern_one,4718592,10,17913
cloudsc_pattern_one,4718592,11,16657
cloudsc_pattern_one,4718592,12,15279
cloudsc_pattern_one,4718592,13,18443
cloudsc_pattern_one,4718592,14,18021
cloudsc_pattern_one,4718592,15,18577
cloudsc_pattern_one,4718592,16,16584
cloudsc_pattern_one,4718592,17,15258
cloudsc_pattern_one,4718592,18,18090
cloudsc_pattern_one,4718592,19,17456
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,0,9491
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,1,9436
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,2,9353
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,3,9301
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,4,9262
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,5,8503
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,6,7750
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,7,7760
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,8,7702
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,9,7674
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,10,7709
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,11,7689
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,12,7699
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,13,7691
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,14,7701
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,15,9305
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,16,7639
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,17,7669
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,18,7682
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_no_cpy,4718592,19,7673
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,0,13880
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,1,14812
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,2,14403
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,3,13588
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,4,11983
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,5,8750
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,6,8884
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,7,9463
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,8,8491
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,9,7970
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,10,7962
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,11,8042
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,12,7914
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,13,7966
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,14,7960
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,15,7905
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,16,7974
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,17,7968
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,18,7949
cloudsc_pattern_one_icpx__no_vectorize_veclen_8_cpy,4718592,19,7961
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,0,13896
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,1,12678
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,2,14116
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,3,12244
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,4,12419
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,5,13070
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,6,13678
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,7,13107
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,8,13068
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,9,13556
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,10,12772
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,11,12463
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,12,9421
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,13,8850
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,14,8934
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,15,11435
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,16,9803
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,17,11794
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,18,13547
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_no_cpy,4718592,19,9078
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_cpy,4718592,0,7953
cloudsc_pattern_one_icpx__no_vectorize_veclen_16_cpy,4718592,1,10375
