sdfg_name,size,rep,time_seconds
cloudsc_pattern_one,4718592,0,7301
cloudsc_pattern_one,4718592,1,7894
cloudsc_pattern_one,4718592,2,8954
cloudsc_pattern_one,4718592,3,7638
cloudsc_pattern_one,4718592,4,7867
cloudsc_pattern_one,4718592,5,7603
cloudsc_pattern_one,4718592,6,8953
cloudsc_pattern_one,4718592,7,8693
cloudsc_pattern_one,4718592,8,106589
cloudsc_pattern_one,4718592,9,7530
cloudsc_pattern_one,4718592,10,8175
cloudsc_pattern_one,4718592,11,7778
cloudsc_pattern_one,4718592,12,7578
cloudsc_pattern_one,4718592,13,8914
cloudsc_pattern_one,4718592,14,7645
cloudsc_pattern_one,4718592,15,7452
cloudsc_pattern_one,4718592,16,7862
cloudsc_pattern_one,4718592,17,7841
cloudsc_pattern_one,4718592,18,7814
cloudsc_pattern_one,4718592,19,9072
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,0,7877
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,1,7677
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,2,7614
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,3,7525
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,4,7489
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,5,7513
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,6,7498
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,7,7492
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,8,7457
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,9,7512
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,10,7490
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,11,7471
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,12,7517
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,13,7519
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,14,7648
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,15,7568
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,16,7477
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,17,7376
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,18,7403
cloudsc_pattern_one_icpx__veclen_8_no_cpy,4718592,19,7449
cloudsc_pattern_one_icpx__veclen_8_cpy,4718592,0,7838
cloudsc_pattern_one_icpx__veclen_8_cpy,4718592,1,7773
cloudsc_pattern_one_icpx__veclen_8_cpy,4718592,2,7683
