sdfg_name,size,rep,time_seconds
cloudsc_pattern_1,8192,0,968
cloudsc_pattern_1,8192,1,973
cloudsc_pattern_1,8192,2,977
cloudsc_pattern_1,8192,3,977
cloudsc_pattern_1,8192,4,978
cloudsc_pattern_1,8192,5,969
cloudsc_pattern_1,8192,6,998
cloudsc_pattern_1,8192,7,992
cloudsc_pattern_1,8192,8,982
cloudsc_pattern_1,8192,9,985
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,0,819
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,1,822
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,2,816
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,3,817
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,4,813
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,5,823
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,6,824
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,7,820
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,8,819
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,8192,9,827
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,0,847
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,1,844
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,2,841
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,3,843
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,4,844
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,5,843
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,6,844
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,7,838
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,8,836
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,8192,9,844
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,0,579
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,1,584
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,2,586
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,3,577
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,4,575
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,5,589
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,6,585
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,7,584
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,8,576
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,8192,9,585
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,0,592
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,1,601
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,2,601
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,3,608
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,4,612
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,5,607
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,6,594
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,7,598
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,8,594
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,8192,9,598
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,0,691
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,1,671
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,2,692
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,3,671
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,4,663
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,8192,5,678
