sdfg_name,size,rep,time_seconds
cloudsc_pattern_one,4718592,0,275469
cloudsc_pattern_one,4718592,1,275942
cloudsc_pattern_one,4718592,2,275635
cloudsc_pattern_one,4718592,3,275310
cloudsc_pattern_one,4718592,4,276244
cloudsc_pattern_one,4718592,5,276044
cloudsc_pattern_one,4718592,6,275034
cloudsc_pattern_one,4718592,7,274130
cloudsc_pattern_one,4718592,8,273399
cloudsc_pattern_one,4718592,9,273030
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,0,271820
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,1,269857
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,2,269749
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,3,269727
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,4,269867
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,5,269140
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,6,269396
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,7,268201
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,8,268315
cloudsc_pattern_one_clang__libmvec_veclen_4_no_cpy,4718592,9,267972
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,0,258175
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,1,258080
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,2,256653
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,3,257334
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,4,256712
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,5,257047
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,6,256738
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,7,257557
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,8,256852
cloudsc_pattern_one_clang__libmvec_veclen_4_cpy,4718592,9,256992
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,0,188415
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,1,188862
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,2,188350
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,3,188942
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,4,188203
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,5,188419
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,6,189197
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,7,189355
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,8,189494
cloudsc_pattern_one_clang__libmvec_veclen_8_no_cpy,4718592,9,189619
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,0,194314
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,1,194571
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,2,194123
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,3,194227
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,4,194124
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,5,194276
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,6,194738
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,7,194464
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,8,194334
cloudsc_pattern_one_clang__libmvec_veclen_8_cpy,4718592,9,194555
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,0,137804
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,1,137662
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,2,137318
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,3,137396
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,4,137831
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,5,137651
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,6,137195
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,7,137391
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,8,137182
cloudsc_pattern_one_clang__libmvec_veclen_16_no_cpy,4718592,9,137852
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,0,160909
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,1,160511
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,2,160927
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,3,161088
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,4,160154
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,5,160739
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,6,159589
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,7,160338
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,8,159541
cloudsc_pattern_one_clang__libmvec_veclen_16_cpy,4718592,9,160382
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,0,147597
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,1,147481
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,2,148194
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,3,147553
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,4,147992
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,5,147603
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,6,148189
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,7,147661
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,8,147441
cloudsc_pattern_one_clang__libmvec_veclen_32_no_cpy,4718592,9,148194
cloudsc_pattern_one_clang__libmvec_veclen_32_cpy,4718592,0,147558
