sdfg_name,size,rep,time_seconds
cloudsc_pattern_one,4718592,0,742058
cloudsc_pattern_one,4718592,1,742781
cloudsc_pattern_one,4718592,2,741993
cloudsc_pattern_one,4718592,3,741697
cloudsc_pattern_one,4718592,4,741959
cloudsc_pattern_one,4718592,5,746318
cloudsc_pattern_one,4718592,6,742499
cloudsc_pattern_one,4718592,7,743587
cloudsc_pattern_one,4718592,8,741532
cloudsc_pattern_one,4718592,9,732459
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,0,506364
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,1,506158
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,2,507120
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,3,506076
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,4,506199
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,5,506112
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,6,506824
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,7,506185
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,8,506073
cloudsc_pattern_one_clang__no_vectorize_veclen_8_no_cpy,4718592,9,504791
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,0,563757
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,1,563915
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,2,564010
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,3,563415
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,4,563296
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,5,563817
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,6,563283
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,7,562654
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,8,564160
cloudsc_pattern_one_clang__no_vectorize_veclen_8_cpy,4718592,9,563851
cloudsc_pattern_one_clang__no_vectorize_veclen_16_no_cpy,4718592,0,485198
