sdfg_name,size,rep,time_seconds
cloudsc_pattern_one,4718592,0,29772
cloudsc_pattern_one,4718592,1,29802
cloudsc_pattern_one,4718592,2,29764
cloudsc_pattern_one,4718592,3,29768
cloudsc_pattern_one,4718592,4,29751
cloudsc_pattern_one,4718592,5,29742
cloudsc_pattern_one,4718592,6,29763
cloudsc_pattern_one,4718592,7,29772
cloudsc_pattern_one,4718592,8,29776
cloudsc_pattern_one,4718592,9,29756
cloudsc_pattern_one,4718592,10,29753
cloudsc_pattern_one,4718592,11,29751
cloudsc_pattern_one,4718592,12,29742
cloudsc_pattern_one,4718592,13,29975
cloudsc_pattern_one,4718592,14,29804
cloudsc_pattern_one,4718592,15,29749
cloudsc_pattern_one,4718592,16,29768
cloudsc_pattern_one,4718592,17,29764
cloudsc_pattern_one,4718592,18,29738
cloudsc_pattern_one,4718592,19,29731
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,0,18425
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,1,18441
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,2,18445
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,3,18421
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,4,18398
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,5,18417
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,6,18369
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,7,18386
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,8,18427
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,9,18405
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,10,18406
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,11,18427
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,12,18410
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,13,18391
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,14,18428
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,15,18446
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,16,18407
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,17,18409
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,18,18389
cloudsc_pattern_one_clang__veclen_8_no_cpy,4718592,19,18419
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,0,19015
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,1,19028
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,2,19034
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,3,19065
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,4,19023
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,5,19017
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,6,19061
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,7,19024
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,8,19051
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,9,19039
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,10,19032
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,11,18971
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,12,19028
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,13,19041
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,14,19066
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,15,19041
cloudsc_pattern_one_clang__veclen_8_cpy,4718592,16,19041
