sdfg_name,size,rep,time_seconds
spmv_csr,2048,0,742
spmv_csr,2048,1,732
spmv_csr,2048,2,716
spmv_csr,2048,3,726
spmv_csr,2048,4,816
spmv_csr,2048,5,739
spmv_csr,2048,6,763
spmv_csr,2048,7,723
spmv_csr,2048,8,844
spmv_csr,2048,9,807
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,0,891
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,1,880
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,2,858
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,3,838
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,4,871
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,5,887
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,6,870
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,7,882
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,8,863
cloudsc_pattern_1_vectorized_static_veclen_8_no_cpy,2048,9,891
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,0,811
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,1,828
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,2,864
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,3,856
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,4,849
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,5,861
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,6,826
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,7,807
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,8,848
cloudsc_pattern_1_vectorized_static_veclen_8_cpy,2048,9,833
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,0,724
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,1,757
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,2,744
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,3,735
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,4,777
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,5,736
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,6,742
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,7,733
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,8,743
cloudsc_pattern_1_vectorized_static_veclen_16_no_cpy,2048,9,751
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,0,774
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,1,750
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,2,760
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,3,725
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,4,780
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,5,720
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,6,727
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,7,727
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,8,731
cloudsc_pattern_1_vectorized_static_veclen_16_cpy,2048,9,720
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,0,1106
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,1,1019
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,2,971
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,3,986
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,4,944
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,5,1008
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,6,974
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,7,967
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,8,935
cloudsc_pattern_1_vectorized_static_veclen_32_no_cpy,2048,9,932
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,0,1055
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,1,1087
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,2,1035
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,3,1054
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,4,1039
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,5,1100
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,6,1071
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,7,1031
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,8,998
cloudsc_pattern_1_vectorized_static_veclen_32_cpy,2048,9,1028
spmv_csr,2048,0,742
spmv_csr,2048,1,732
spmv_csr,2048,2,716
spmv_csr,2048,3,726
spmv_csr,2048,4,816
spmv_csr,2048,5,739
spmv_csr,2048,6,763
spmv_csr,2048,7,723
spmv_csr,2048,8,844
spmv_csr,2048,9,807
