sdfg_name,size,rep,time_seconds
csr_spmv,2048,0,2219
csr_spmv,2048,1,1976
csr_spmv,2048,2,1845
csr_spmv,2048,3,1970
csr_spmv,2048,4,1866
csr_spmv,2048,5,1681
csr_spmv,2048,6,1449
csr_spmv,2048,7,1414
csr_spmv,2048,8,1423
csr_spmv,2048,9,1388
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,0,1492
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,1,2138
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,2,2257
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,3,2191
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,4,2205
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,5,2277
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,6,2126
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,7,2239
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,8,2193
csr_spmv_vectorized_static_veclen_8_no_cpy,2048,9,1960
csr_spmv_vectorized_static_veclen_8_cpy,2048,0,1955
csr_spmv_vectorized_static_veclen_8_cpy,2048,1,1969
csr_spmv_vectorized_static_veclen_8_cpy,2048,2,2182
csr_spmv_vectorized_static_veclen_8_cpy,2048,3,2167
csr_spmv_vectorized_static_veclen_8_cpy,2048,4,2105
csr_spmv_vectorized_static_veclen_8_cpy,2048,5,1992
csr_spmv_vectorized_static_veclen_8_cpy,2048,6,1904
csr_spmv_vectorized_static_veclen_8_cpy,2048,7,1907
csr_spmv_vectorized_static_veclen_8_cpy,2048,8,1971
csr_spmv_vectorized_static_veclen_8_cpy,2048,9,2004
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,0,2110
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,1,2838
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,2,2702
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,3,2640
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,4,2608
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,5,2496
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,6,2444
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,7,2540
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,8,2552
csr_spmv_vectorized_static_veclen_16_no_cpy,2048,9,2475
csr_spmv_vectorized_static_veclen_16_cpy,2048,0,2333
csr_spmv_vectorized_static_veclen_16_cpy,2048,1,2519
csr_spmv_vectorized_static_veclen_16_cpy,2048,2,2500
csr_spmv_vectorized_static_veclen_16_cpy,2048,3,2443
csr_spmv_vectorized_static_veclen_16_cpy,2048,4,2439
csr_spmv_vectorized_static_veclen_16_cpy,2048,5,2497
csr_spmv_vectorized_static_veclen_16_cpy,2048,6,2497
csr_spmv_vectorized_static_veclen_16_cpy,2048,7,2519
csr_spmv_vectorized_static_veclen_16_cpy,2048,8,2553
csr_spmv_vectorized_static_veclen_16_cpy,2048,9,2576
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,0,1416
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,1,1439
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,2,1588
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,3,1552
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,4,1497
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,5,1497
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,6,1499
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,7,1522
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,8,1551
csr_spmv_vectorized_static_veclen_32_no_cpy,2048,9,1569
csr_spmv_vectorized_static_veclen_32_cpy,2048,0,1591
csr_spmv_vectorized_static_veclen_32_cpy,2048,1,1436
csr_spmv_vectorized_static_veclen_32_cpy,2048,2,1609
csr_spmv_vectorized_static_veclen_32_cpy,2048,3,2017
csr_spmv_vectorized_static_veclen_32_cpy,2048,4,2002
csr_spmv_vectorized_static_veclen_32_cpy,2048,5,1978
csr_spmv_vectorized_static_veclen_32_cpy,2048,6,2052
csr_spmv_vectorized_static_veclen_32_cpy,2048,7,1927
csr_spmv_vectorized_static_veclen_32_cpy,2048,8,1969
csr_spmv_vectorized_static_veclen_32_cpy,2048,9,1917
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,0,1547
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,1,1308
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,2,1175
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,3,1318
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,4,1488
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,5,1491
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,6,1464
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,7,1438
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,8,1439
csr_spmv_vectorized_static_veclen_64_no_cpy,2048,9,1434
csr_spmv_vectorized_static_veclen_64_cpy,2048,0,1602
csr_spmv_vectorized_static_veclen_64_cpy,2048,1,1411
csr_spmv_vectorized_static_veclen_64_cpy,2048,2,1399
csr_spmv_vectorized_static_veclen_64_cpy,2048,3,1507
csr_spmv_vectorized_static_veclen_64_cpy,2048,4,1894
csr_spmv_vectorized_static_veclen_64_cpy,2048,5,1938
csr_spmv_vectorized_static_veclen_64_cpy,2048,6,1926
csr_spmv_vectorized_static_veclen_64_cpy,2048,7,1928
csr_spmv_vectorized_static_veclen_64_cpy,2048,8,1936
csr_spmv_vectorized_static_veclen_64_cpy,2048,9,1937
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,0,1692
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,1,1345
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,2,1245
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,3,1435
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,4,1656
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,5,1657
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,6,1661
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,7,1648
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,8,1640
csr_spmv_vectorized_static_veclen_128_no_cpy,2048,9,1663
csr_spmv_vectorized_static_veclen_128_cpy,2048,0,2022
csr_spmv_vectorized_static_veclen_128_cpy,2048,1,1819
csr_spmv_vectorized_static_veclen_128_cpy,2048,2,1694
csr_spmv_vectorized_static_veclen_128_cpy,2048,3,1918
csr_spmv_vectorized_static_veclen_128_cpy,2048,4,2261
csr_spmv_vectorized_static_veclen_128_cpy,2048,5,2224
csr_spmv_vectorized_static_veclen_128_cpy,2048,6,2190
csr_spmv_vectorized_static_veclen_128_cpy,2048,7,2189
csr_spmv_vectorized_static_veclen_128_cpy,2048,8,2180
csr_spmv_vectorized_static_veclen_128_cpy,2048,9,2079
csr_spmv,4096,0,6083
csr_spmv,4096,1,6068
csr_spmv,4096,2,6047
csr_spmv,4096,3,6045
csr_spmv,4096,4,6342
csr_spmv,4096,5,6363
csr_spmv,4096,6,6120
csr_spmv,4096,7,6207
csr_spmv,4096,8,6379
csr_spmv,4096,9,6157
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,0,8429
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,1,10446
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,2,9976
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,3,8326
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,4,7713
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,5,8057
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,6,9810
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,7,8619
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,8,7904
csr_spmv_vectorized_static_veclen_8_no_cpy,4096,9,9341
csr_spmv_vectorized_static_veclen_8_cpy,4096,0,6505
csr_spmv_vectorized_static_veclen_8_cpy,4096,1,6458
csr_spmv_vectorized_static_veclen_8_cpy,4096,2,6524
csr_spmv_vectorized_static_veclen_8_cpy,4096,3,7343
csr_spmv_vectorized_static_veclen_8_cpy,4096,4,6709
csr_spmv_vectorized_static_veclen_8_cpy,4096,5,6145
csr_spmv_vectorized_static_veclen_8_cpy,4096,6,6570
csr_spmv_vectorized_static_veclen_8_cpy,4096,7,6603
csr_spmv_vectorized_static_veclen_8_cpy,4096,8,6644
csr_spmv_vectorized_static_veclen_8_cpy,4096,9,6182
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,0,7195
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,1,7674
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,2,7241
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,3,7494
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,4,6912
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,5,6854
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,6,7021
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,7,6782
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,8,6968
csr_spmv_vectorized_static_veclen_16_no_cpy,4096,9,6746
csr_spmv_vectorized_static_veclen_16_cpy,4096,0,8480
csr_spmv_vectorized_static_veclen_16_cpy,4096,1,7959
csr_spmv_vectorized_static_veclen_16_cpy,4096,2,8174
csr_spmv_vectorized_static_veclen_16_cpy,4096,3,7493
csr_spmv_vectorized_static_veclen_16_cpy,4096,4,8349
csr_spmv_vectorized_static_veclen_16_cpy,4096,5,7436
csr_spmv_vectorized_static_veclen_16_cpy,4096,6,7128
csr_spmv_vectorized_static_veclen_16_cpy,4096,7,7123
csr_spmv_vectorized_static_veclen_16_cpy,4096,8,7080
csr_spmv_vectorized_static_veclen_16_cpy,4096,9,7026
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,0,6045
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,1,6231
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,2,6588
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,3,6630
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,4,6229
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,5,8582
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,6,8054
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,7,8071
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,8,8596
csr_spmv_vectorized_static_veclen_32_no_cpy,4096,9,8204
csr_spmv_vectorized_static_veclen_32_cpy,4096,0,6566
csr_spmv_vectorized_static_veclen_32_cpy,4096,1,6903
csr_spmv_vectorized_static_veclen_32_cpy,4096,2,6639
csr_spmv_vectorized_static_veclen_32_cpy,4096,3,7416
csr_spmv_vectorized_static_veclen_32_cpy,4096,4,7501
csr_spmv_vectorized_static_veclen_32_cpy,4096,5,7328
csr_spmv_vectorized_static_veclen_32_cpy,4096,6,6685
