sdfg_name,size,rep,time_seconds
division_by_zero,524288,0,812
division_by_zero,524288,1,836
division_by_zero,524288,2,828
division_by_zero,524288,3,827
division_by_zero,524288,4,831
division_by_zero,524288,5,831
division_by_zero,524288,6,833
division_by_zero,524288,7,830
division_by_zero,524288,8,830
division_by_zero,524288,9,829
division_by_zero,524288,10,840
division_by_zero,524288,11,831
division_by_zero,524288,12,832
division_by_zero,524288,13,826
division_by_zero,524288,14,841
division_by_zero,524288,15,824
division_by_zero,524288,16,825
division_by_zero,524288,17,819
division_by_zero,524288,18,838
division_by_zero,524288,19,825
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,0,237
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,1,305
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,2,377
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,3,355
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,4,353
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,5,346
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,6,376
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,7,338
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,8,358
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,9,376
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,10,373
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,11,365
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,12,374
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,13,375
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,14,389
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,15,365
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,16,377
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,17,378
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,18,376
division_by_zero_vectorized_static_veclen_8_no_cpy,524288,19,371
division_by_zero_vectorized_static_veclen_8_cpy,524288,0,375
division_by_zero_vectorized_static_veclen_8_cpy,524288,1,371
division_by_zero_vectorized_static_veclen_8_cpy,524288,2,376
division_by_zero_vectorized_static_veclen_8_cpy,524288,3,393
division_by_zero_vectorized_static_veclen_8_cpy,524288,4,393
division_by_zero_vectorized_static_veclen_8_cpy,524288,5,377
division_by_zero_vectorized_static_veclen_8_cpy,524288,6,384
division_by_zero_vectorized_static_veclen_8_cpy,524288,7,381
division_by_zero_vectorized_static_veclen_8_cpy,524288,8,380
division_by_zero_vectorized_static_veclen_8_cpy,524288,9,380
division_by_zero_vectorized_static_veclen_8_cpy,524288,10,389
division_by_zero_vectorized_static_veclen_8_cpy,524288,11,378
division_by_zero_vectorized_static_veclen_8_cpy,524288,12,389
division_by_zero_vectorized_static_veclen_8_cpy,524288,13,392
division_by_zero_vectorized_static_veclen_8_cpy,524288,14,383
division_by_zero_vectorized_static_veclen_8_cpy,524288,15,376
division_by_zero_vectorized_static_veclen_8_cpy,524288,16,522
division_by_zero_vectorized_static_veclen_8_cpy,524288,17,440
division_by_zero_vectorized_static_veclen_8_cpy,524288,18,384
division_by_zero_vectorized_static_veclen_8_cpy,524288,19,379
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,0,536
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,1,508
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,2,500
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,3,497
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,4,555
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,5,499
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,6,498
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,7,497
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,8,508
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,9,508
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,10,508
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,11,495
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,12,496
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,13,557
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,14,514
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,15,565
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,16,570
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,17,593
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,18,552
division_by_zero_vectorized_static_veclen_16_no_cpy,524288,19,499
division_by_zero_vectorized_static_veclen_16_cpy,524288,0,662
division_by_zero_vectorized_static_veclen_16_cpy,524288,1,713
division_by_zero_vectorized_static_veclen_16_cpy,524288,2,652
division_by_zero_vectorized_static_veclen_16_cpy,524288,3,650
division_by_zero_vectorized_static_veclen_16_cpy,524288,4,657
division_by_zero_vectorized_static_veclen_16_cpy,524288,5,689
division_by_zero_vectorized_static_veclen_16_cpy,524288,6,691
division_by_zero_vectorized_static_veclen_16_cpy,524288,7,668
division_by_zero_vectorized_static_veclen_16_cpy,524288,8,631
division_by_zero_vectorized_static_veclen_16_cpy,524288,9,786
division_by_zero_vectorized_static_veclen_16_cpy,524288,10,640
division_by_zero_vectorized_static_veclen_16_cpy,524288,11,642
division_by_zero_vectorized_static_veclen_16_cpy,524288,12,743
division_by_zero_vectorized_static_veclen_16_cpy,524288,13,683
division_by_zero_vectorized_static_veclen_16_cpy,524288,14,708
division_by_zero_vectorized_static_veclen_16_cpy,524288,15,871
division_by_zero_vectorized_static_veclen_16_cpy,524288,16,647
division_by_zero_vectorized_static_veclen_16_cpy,524288,17,718
division_by_zero_vectorized_static_veclen_16_cpy,524288,18,763
division_by_zero_vectorized_static_veclen_16_cpy,524288,19,645
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,0,516
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,1,509
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,2,510
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,3,543
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,4,525
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,5,522
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,6,515
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,7,519
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,8,523
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,9,511
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,10,545
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,11,512
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,12,561
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,13,514
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,14,520
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,15,529
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,16,511
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,17,524
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,18,517
division_by_zero_vectorized_static_veclen_32_no_cpy,524288,19,528
division_by_zero_vectorized_static_veclen_32_cpy,524288,0,619
division_by_zero_vectorized_static_veclen_32_cpy,524288,1,616
division_by_zero_vectorized_static_veclen_32_cpy,524288,2,613
division_by_zero_vectorized_static_veclen_32_cpy,524288,3,668
division_by_zero_vectorized_static_veclen_32_cpy,524288,4,651
division_by_zero_vectorized_static_veclen_32_cpy,524288,5,627
division_by_zero_vectorized_static_veclen_32_cpy,524288,6,624
division_by_zero_vectorized_static_veclen_32_cpy,524288,7,647
division_by_zero_vectorized_static_veclen_32_cpy,524288,8,636
division_by_zero_vectorized_static_veclen_32_cpy,524288,9,635
division_by_zero_vectorized_static_veclen_32_cpy,524288,10,642
division_by_zero_vectorized_static_veclen_32_cpy,524288,11,619
division_by_zero_vectorized_static_veclen_32_cpy,524288,12,626
division_by_zero_vectorized_static_veclen_32_cpy,524288,13,665
division_by_zero_vectorized_static_veclen_32_cpy,524288,14,617
division_by_zero_vectorized_static_veclen_32_cpy,524288,15,624
division_by_zero_vectorized_static_veclen_32_cpy,524288,16,650
division_by_zero_vectorized_static_veclen_32_cpy,524288,17,624
division_by_zero_vectorized_static_veclen_32_cpy,524288,18,619
division_by_zero_vectorized_static_veclen_32_cpy,524288,19,626
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,0,613
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,1,616
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,2,597
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,3,620
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,4,612
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,5,619
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,6,622
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,7,648
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,8,624
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,9,625
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,10,636
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,11,628
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,12,619
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,13,622
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,14,618
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,15,619
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,16,622
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,17,622
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,18,630
division_by_zero_vectorized_static_veclen_64_no_cpy,524288,19,626
division_by_zero_vectorized_static_veclen_64_cpy,524288,0,814
division_by_zero_vectorized_static_veclen_64_cpy,524288,1,788
division_by_zero_vectorized_static_veclen_64_cpy,524288,2,789
division_by_zero_vectorized_static_veclen_64_cpy,524288,3,775
division_by_zero_vectorized_static_veclen_64_cpy,524288,4,796
division_by_zero_vectorized_static_veclen_64_cpy,524288,5,785
division_by_zero_vectorized_static_veclen_64_cpy,524288,6,802
division_by_zero_vectorized_static_veclen_64_cpy,524288,7,780
division_by_zero_vectorized_static_veclen_64_cpy,524288,8,802
division_by_zero_vectorized_static_veclen_64_cpy,524288,9,790
division_by_zero_vectorized_static_veclen_64_cpy,524288,10,796
division_by_zero_vectorized_static_veclen_64_cpy,524288,11,783
division_by_zero_vectorized_static_veclen_64_cpy,524288,12,780
division_by_zero_vectorized_static_veclen_64_cpy,524288,13,775
division_by_zero_vectorized_static_veclen_64_cpy,524288,14,794
division_by_zero_vectorized_static_veclen_64_cpy,524288,15,786
division_by_zero_vectorized_static_veclen_64_cpy,524288,16,796
division_by_zero_vectorized_static_veclen_64_cpy,524288,17,817
division_by_zero_vectorized_static_veclen_64_cpy,524288,18,775
division_by_zero_vectorized_static_veclen_64_cpy,524288,19,779
division_by_zero,2097152,0,3486
division_by_zero,2097152,1,3307
division_by_zero,2097152,2,3295
division_by_zero,2097152,3,3309
division_by_zero,2097152,4,3298
division_by_zero,2097152,5,3279
division_by_zero,2097152,6,3311
division_by_zero,2097152,7,3307
division_by_zero,2097152,8,3275
division_by_zero,2097152,9,3316
division_by_zero,2097152,10,3292
division_by_zero,2097152,11,3290
division_by_zero,2097152,12,3302
division_by_zero,2097152,13,3274
division_by_zero,2097152,14,3310
division_by_zero,2097152,15,3288
division_by_zero,2097152,16,3310
division_by_zero,2097152,17,3302
division_by_zero,2097152,18,3322
division_by_zero,2097152,19,3289
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,0,1525
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,1,1547
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,2,1501
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,3,1547
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,4,1538
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,5,1545
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,6,1509
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,7,1709
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,8,1644
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,9,1475
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,10,1473
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,11,1410
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,12,1475
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,13,1410
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,14,1450
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,15,1491
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,16,1528
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,17,1511
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,18,1527
division_by_zero_vectorized_static_veclen_8_no_cpy,2097152,19,1412
division_by_zero_vectorized_static_veclen_8_cpy,2097152,0,1700
division_by_zero_vectorized_static_veclen_8_cpy,2097152,1,1519
division_by_zero_vectorized_static_veclen_8_cpy,2097152,2,1604
division_by_zero_vectorized_static_veclen_8_cpy,2097152,3,1546
division_by_zero_vectorized_static_veclen_8_cpy,2097152,4,1565
division_by_zero_vectorized_static_veclen_8_cpy,2097152,5,1567
division_by_zero_vectorized_static_veclen_8_cpy,2097152,6,1600
division_by_zero_vectorized_static_veclen_8_cpy,2097152,7,1575
division_by_zero_vectorized_static_veclen_8_cpy,2097152,8,1542
division_by_zero_vectorized_static_veclen_8_cpy,2097152,9,1575
division_by_zero_vectorized_static_veclen_8_cpy,2097152,10,1620
division_by_zero_vectorized_static_veclen_8_cpy,2097152,11,1655
division_by_zero_vectorized_static_veclen_8_cpy,2097152,12,1560
division_by_zero_vectorized_static_veclen_8_cpy,2097152,13,1537
division_by_zero_vectorized_static_veclen_8_cpy,2097152,14,1530
division_by_zero_vectorized_static_veclen_8_cpy,2097152,15,1498
division_by_zero_vectorized_static_veclen_8_cpy,2097152,16,1509
division_by_zero_vectorized_static_veclen_8_cpy,2097152,17,1577
division_by_zero_vectorized_static_veclen_8_cpy,2097152,18,1524
division_by_zero_vectorized_static_veclen_8_cpy,2097152,19,1484
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,0,2003
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,1,2022
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,2,2003
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,3,1992
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,4,2015
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,5,1994
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,6,2038
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,7,1997
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,8,2004
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,9,1991
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,10,1991
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,11,2029
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,12,2008
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,13,2144
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,14,2023
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,15,1962
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,16,1963
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,17,1982
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,18,1977
division_by_zero_vectorized_static_veclen_16_no_cpy,2097152,19,1973
division_by_zero_vectorized_static_veclen_16_cpy,2097152,0,2805
division_by_zero_vectorized_static_veclen_16_cpy,2097152,1,2660
division_by_zero_vectorized_static_veclen_16_cpy,2097152,2,2694
division_by_zero_vectorized_static_veclen_16_cpy,2097152,3,2857
division_by_zero_vectorized_static_veclen_16_cpy,2097152,4,2861
division_by_zero_vectorized_static_veclen_16_cpy,2097152,5,2618
division_by_zero_vectorized_static_veclen_16_cpy,2097152,6,2792
division_by_zero_vectorized_static_veclen_16_cpy,2097152,7,2846
division_by_zero_vectorized_static_veclen_16_cpy,2097152,8,2611
division_by_zero_vectorized_static_veclen_16_cpy,2097152,9,2774
division_by_zero_vectorized_static_veclen_16_cpy,2097152,10,2731
division_by_zero_vectorized_static_veclen_16_cpy,2097152,11,2653
division_by_zero_vectorized_static_veclen_16_cpy,2097152,12,2570
division_by_zero_vectorized_static_veclen_16_cpy,2097152,13,2565
division_by_zero_vectorized_static_veclen_16_cpy,2097152,14,2596
division_by_zero_vectorized_static_veclen_16_cpy,2097152,15,2648
division_by_zero_vectorized_static_veclen_16_cpy,2097152,16,2620
division_by_zero_vectorized_static_veclen_16_cpy,2097152,17,2520
division_by_zero_vectorized_static_veclen_16_cpy,2097152,18,2606
division_by_zero_vectorized_static_veclen_16_cpy,2097152,19,2637
division_by_zero_vectorized_static_veclen_32_no_cpy,2097152,0,1986
division_by_zero_vectorized_static_veclen_32_no_cpy,2097152,1,1996
division_by_zero_vectorized_static_veclen_32_no_cpy,2097152,2,2320
division_by_zero_vectorized_static_veclen_32_no_cpy,2097152,3,2251
