sdfg_name,size,rep,time_seconds
division_by_zero_dace,4718592,0,7305
division_by_zero_dace,4718592,1,7568
division_by_zero_dace,4718592,2,7514
division_by_zero_dace,4718592,3,7328
division_by_zero_dace,4718592,4,7316
division_by_zero_dace,4718592,5,7331
division_by_zero_dace,4718592,6,7318
division_by_zero_dace,4718592,7,7323
division_by_zero_dace,4718592,8,7367
division_by_zero_dace,4718592,9,7352
division_by_zero_dace,4718592,10,7341
division_by_zero_dace,4718592,11,7577
division_by_zero_dace,4718592,12,7333
division_by_zero_dace,4718592,13,7337
division_by_zero_dace,4718592,14,7354
division_by_zero_dace,4718592,15,7310
division_by_zero_dace,4718592,16,7323
division_by_zero_dace,4718592,17,7560
division_by_zero_dace,4718592,18,7325
division_by_zero_dace,4718592,19,7302
division_by_zero_dace_g__veclen_4_no_cpy,4718592,0,3276
division_by_zero_dace_g__veclen_4_no_cpy,4718592,1,3325
division_by_zero_dace_g__veclen_4_no_cpy,4718592,2,3378
division_by_zero_dace_g__veclen_4_no_cpy,4718592,3,3236
division_by_zero_dace_g__veclen_4_no_cpy,4718592,4,3294
division_by_zero_dace_g__veclen_4_no_cpy,4718592,5,3297
division_by_zero_dace_g__veclen_4_no_cpy,4718592,6,3415
division_by_zero_dace_g__veclen_4_no_cpy,4718592,7,3215
division_by_zero_dace_g__veclen_4_no_cpy,4718592,8,3277
division_by_zero_dace_g__veclen_4_no_cpy,4718592,9,3297
division_by_zero_dace_g__veclen_4_no_cpy,4718592,10,3433
division_by_zero_dace_g__veclen_4_no_cpy,4718592,11,3235
division_by_zero_dace_g__veclen_4_no_cpy,4718592,12,3253
division_by_zero_dace_g__veclen_4_no_cpy,4718592,13,3325
division_by_zero_dace_g__veclen_4_no_cpy,4718592,14,3292
division_by_zero_dace_g__veclen_4_no_cpy,4718592,15,3194
division_by_zero_dace_g__veclen_4_no_cpy,4718592,16,3299
division_by_zero_dace_g__veclen_4_no_cpy,4718592,17,3307
division_by_zero_dace_g__veclen_4_no_cpy,4718592,18,3380
division_by_zero_dace_g__veclen_4_no_cpy,4718592,19,3205
division_by_zero_dace_g__veclen_4_cpy,4718592,0,3203
division_by_zero_dace_g__veclen_4_cpy,4718592,1,3278
division_by_zero_dace_g__veclen_4_cpy,4718592,2,3315
division_by_zero_dace_g__veclen_4_cpy,4718592,3,3365
division_by_zero_dace_g__veclen_4_cpy,4718592,4,3365
division_by_zero_dace_g__veclen_4_cpy,4718592,5,3242
division_by_zero_dace_g__veclen_4_cpy,4718592,6,3327
