sdfg_name,size,rep,time_seconds
division_by_zero_dace,4718592,0,9610
division_by_zero_dace,4718592,1,12416
division_by_zero_dace,4718592,2,12683
division_by_zero_dace,4718592,3,13593
division_by_zero_dace,4718592,4,13311
division_by_zero_dace,4718592,5,13911
division_by_zero_dace,4718592,6,13386
division_by_zero_dace,4718592,7,12328
division_by_zero_dace,4718592,8,12988
division_by_zero_dace,4718592,9,12919
division_by_zero_dace,4718592,10,14352
division_by_zero_dace,4718592,11,13998
division_by_zero_dace,4718592,12,13247
division_by_zero_dace,4718592,13,14060
division_by_zero_dace,4718592,14,13622
division_by_zero_dace,4718592,15,13224
division_by_zero_dace,4718592,16,14037
division_by_zero_dace,4718592,17,12583
division_by_zero_dace,4718592,18,12719
division_by_zero_dace,4718592,19,12559
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,0,8521
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,1,8648
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,2,8080
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,3,8239
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,4,8598
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,5,8342
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,6,8193
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,7,8038
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,8,8497
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,9,8203
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,10,8583
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,11,8017
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,12,8051
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,13,7991
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,14,8561
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,15,8128
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,16,8568
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,17,8193
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,18,8626
division_by_zero_dace_g__dace_intrinsics_veclen_8_no_cpy,4718592,19,8471
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,0,19964
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,1,20427
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,2,20027
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,3,19521
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,4,20239
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,5,20061
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,6,19803
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,7,19974
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,8,20067
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,9,20913
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,10,19340
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,11,20387
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,12,19244
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,13,19481
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,14,20052
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,15,20378
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,16,19524
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,17,19985
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,18,20323
division_by_zero_dace_g__dace_intrinsics_veclen_8_cpy,4718592,19,19527
division_by_zero_dace_g__dace_intrinsics_veclen_16_no_cpy,4718592,0,8586
division_by_zero_dace_g__dace_intrinsics_veclen_16_no_cpy,4718592,1,8571
division_by_zero_dace_g__dace_intrinsics_veclen_16_no_cpy,4718592,2,8479
division_by_zero_dace_g__dace_intrinsics_veclen_16_no_cpy,4718592,3,8089
division_by_zero_dace_g__dace_intrinsics_veclen_16_no_cpy,4718592,4,8488
division_by_zero_dace_g__dace_intrinsics_veclen_16_no_cpy,4718592,5,8441
division_by_zero_dace_g__dace_intrinsics_veclen_16_no_cpy,4718592,6,8588
division_by_zero_dace_g__dace_intrinsics_veclen_16_no_cpy,4718592,7,8098
division_by_zero_dace_g__dace_intrinsics_veclen_16_no_cpy,4718592,8,8478
