sdfg_name,size,rep,time_seconds
division_by_zero_dace,4718592,0,113
division_by_zero_dace,4718592,1,143
division_by_zero_dace,4718592,2,161
division_by_zero_dace,4718592,3,155
division_by_zero_dace,4718592,4,149
division_by_zero_dace,4718592,5,142
division_by_zero_dace,4718592,6,136
division_by_zero_dace,4718592,7,132
division_by_zero_dace,4718592,8,138
division_by_zero_dace,4718592,9,136
division_by_zero_dace,4718592,10,130
division_by_zero_dace,4718592,11,125
division_by_zero_dace,4718592,12,125
division_by_zero_dace,4718592,13,117
division_by_zero_dace,4718592,14,121
division_by_zero_dace,4718592,15,119
division_by_zero_dace,4718592,16,123
division_by_zero_dace,4718592,17,129
division_by_zero_dace,4718592,18,117
division_by_zero_dace,4718592,19,116
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,0,216
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,1,213
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,2,209
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,3,199
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,4,200
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,5,197
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,6,190
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,7,188
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,8,187
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,9,186
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,10,184
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,11,186
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,12,182
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,13,180
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,14,192
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,15,185
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,16,182
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,17,182
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,18,182
division_by_zero_dace_clang__intrinsic_sve_veclen_2_no_cpy,4718592,19,187
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,0,252
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,1,249
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,2,249
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,3,249
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,4,250
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,5,243
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,6,245
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,7,260
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,8,240
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,9,241
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,10,245
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,11,242
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,12,241
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,13,240
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,14,242
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,15,242
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,16,248
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,17,240
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,18,279
division_by_zero_dace_clang__intrinsic_sve_veclen_2_cpy,4718592,19,239
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,0,173
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,1,170
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,2,161
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,3,162
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,4,161
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,5,158
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,6,159
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,7,158
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,8,156
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,9,154
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,10,153
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,11,155
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,12,153
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,13,153
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,14,154
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,15,155
division_by_zero_dace_clang__intrinsic_sve_veclen_4_no_cpy,4718592,16,152
