sdfg_name,size,rep,time_seconds
division_by_zero_dace,4718592,0,3604
division_by_zero_dace,4718592,1,3607
division_by_zero_dace,4718592,2,3642
division_by_zero_dace,4718592,3,3612
division_by_zero_dace,4718592,4,3663
division_by_zero_dace,4718592,5,3854
division_by_zero_dace,4718592,6,3662
division_by_zero_dace,4718592,7,3653
division_by_zero_dace,4718592,8,3657
division_by_zero_dace,4718592,9,3655
division_by_zero_dace,4718592,10,3610
division_by_zero_dace,4718592,11,3682
division_by_zero_dace,4718592,12,3774
division_by_zero_dace,4718592,13,3610
division_by_zero_dace,4718592,14,3646
division_by_zero_dace,4718592,15,3653
division_by_zero_dace,4718592,16,3615
division_by_zero_dace,4718592,17,3674
division_by_zero_dace,4718592,18,3672
division_by_zero_dace,4718592,19,3711
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,0,3903
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,1,3820
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,2,3829
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,3,3861
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,4,3806
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,5,3894
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,6,3876
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,7,3960
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,8,3858
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,9,3808
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,10,3925
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,11,3829
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,12,3847
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,13,3821
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,14,3820
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,15,3798
division_by_zero_dace_clang__intrinsic_neon_veclen_2_no_cpy,4718592,16,3808
