sdfg_name,size,rep,time_seconds
division_by_zero_dace,4718592,0,1279
division_by_zero_dace,4718592,1,926
division_by_zero_dace,4718592,2,713
division_by_zero_dace,4718592,3,627
division_by_zero_dace,4718592,4,601
division_by_zero_dace,4718592,5,609
division_by_zero_dace,4718592,6,591
division_by_zero_dace,4718592,7,595
division_by_zero_dace,4718592,8,578
division_by_zero_dace,4718592,9,586
division_by_zero_dace,4718592,10,575
division_by_zero_dace,4718592,11,569
division_by_zero_dace,4718592,12,570
division_by_zero_dace,4718592,13,585
division_by_zero_dace,4718592,14,571
division_by_zero_dace,4718592,15,578
division_by_zero_dace,4718592,16,590
division_by_zero_dace,4718592,17,575
division_by_zero_dace,4718592,18,568
division_by_zero_dace,4718592,19,575
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,0,869
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,1,671
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,2,595
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,3,569
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,4,573
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,5,555
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,6,554
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,7,560
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,8,556
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,9,560
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,10,548
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,11,546
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,12,552
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,13,553
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,14,549
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,15,548
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,16,547
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,17,547
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,18,548
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,19,542
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,0,874
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,1,659
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,2,577
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,3,561
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,4,550
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,5,550
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,6,558
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,7,541
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,8,535
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,9,547
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,10,547
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,11,541
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,12,539
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,13,540
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,14,545
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,15,551
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,16,534
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,17,545
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,18,542
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,19,535
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,0,874
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,1,674
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,2,606
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,3,582
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,4,579
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,5,578
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,6,577
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,7,567
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,8,565
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,9,575
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,10,575
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,11,563
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,12,575
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,13,583
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,14,573
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,15,571
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,16,564
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,17,579
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,18,574
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,19,588
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,0,903
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,1,669
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,2,602
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,3,580
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,4,580
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,5,575
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,6,574
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,7,571
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,8,573
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,9,574
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,10,581
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,11,578
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,12,578
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,13,573
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,14,575
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,15,571
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,16,585
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,17,568
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,18,563
division_by_zero_dace_clang__dace_intrinsics_veclen_16_cpy,4718592,19,580
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,0,895
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,1,691
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,2,601
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,3,587
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,4,580
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,5,571
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,6,578
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,7,574
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,8,585
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,9,578
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,10,568
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,11,562
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,12,572
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,13,570
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,14,576
division_by_zero_dace_clang__dace_intrinsics_veclen_32_no_cpy,4718592,15,571
