sdfg_name,size,rep,time_seconds
division_by_zero_dace,4718592,0,8760
division_by_zero_dace,4718592,1,7422
division_by_zero_dace,4718592,2,9057
division_by_zero_dace,4718592,3,11131
division_by_zero_dace,4718592,4,11082
division_by_zero_dace,4718592,5,11033
division_by_zero_dace,4718592,6,11047
division_by_zero_dace,4718592,7,10979
division_by_zero_dace,4718592,8,11000
division_by_zero_dace,4718592,9,10744
division_by_zero_dace,4718592,10,10674
division_by_zero_dace,4718592,11,10933
division_by_zero_dace,4718592,12,7591
division_by_zero_dace,4718592,13,9242
division_by_zero_dace,4718592,14,10592
division_by_zero_dace,4718592,15,10535
division_by_zero_dace,4718592,16,10699
division_by_zero_dace,4718592,17,10740
division_by_zero_dace,4718592,18,10728
division_by_zero_dace,4718592,19,10536
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,0,10978
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,1,8497
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,2,9483
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,3,10888
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,4,10625
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,5,10732
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,6,10643
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,7,10824
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,8,10685
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,9,10673
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,10,10575
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,11,10485
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,12,10374
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,13,10370
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,14,10619
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,15,10576
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,16,7249
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,17,7616
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,18,8656
division_by_zero_dace_clang__dace_intrinsics_veclen_8_no_cpy,4718592,19,9374
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,0,10979
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,1,10929
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,2,10952
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,3,10688
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,4,10802
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,5,10589
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,6,10503
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,7,7116
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,8,8291
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,9,9272
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,10,10611
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,11,10651
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,12,10418
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,13,10594
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,14,10439
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,15,10308
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,16,10303
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,17,10436
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,18,10293
division_by_zero_dace_clang__dace_intrinsics_veclen_8_cpy,4718592,19,6922
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,0,11008
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,1,11146
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,2,10937
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,3,10811
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,4,10742
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,5,10733
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,6,10840
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,7,10730
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,8,10960
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,9,108355
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,10,8939
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,11,10218
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,12,10792
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,13,10825
division_by_zero_dace_clang__dace_intrinsics_veclen_16_no_cpy,4718592,14,10594
