sdfg_name,size,rep,time_seconds
division_by_zero_dace,4718592,0,1269
division_by_zero_dace,4718592,1,969
division_by_zero_dace,4718592,2,756
division_by_zero_dace,4718592,3,688
division_by_zero_dace,4718592,4,694
division_by_zero_dace,4718592,5,679
division_by_zero_dace,4718592,6,674
division_by_zero_dace,4718592,7,653
division_by_zero_dace,4718592,8,675
division_by_zero_dace,4718592,9,659
division_by_zero_dace,4718592,10,662
division_by_zero_dace,4718592,11,662
division_by_zero_dace,4718592,12,662
division_by_zero_dace,4718592,13,649
division_by_zero_dace,4718592,14,655
division_by_zero_dace,4718592,15,657
division_by_zero_dace,4718592,16,667
division_by_zero_dace,4718592,17,661
division_by_zero_dace,4718592,18,753
division_by_zero_dace,4718592,19,696
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,0,1032
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,1,894
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,2,842
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,3,807
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,4,823
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,5,820
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,6,809
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,7,819
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,8,808
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,9,800
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,10,801
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,11,811
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,12,832
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,13,797
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,14,793
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,15,807
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,16,799
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,17,692
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,18,822
division_by_zero_dace_clang__veclen_8_no_cpy,4718592,19,811
division_by_zero_dace_clang__veclen_8_cpy,4718592,0,920
division_by_zero_dace_clang__veclen_8_cpy,4718592,1,725
division_by_zero_dace_clang__veclen_8_cpy,4718592,2,663
division_by_zero_dace_clang__veclen_8_cpy,4718592,3,662
division_by_zero_dace_clang__veclen_8_cpy,4718592,4,649
division_by_zero_dace_clang__veclen_8_cpy,4718592,5,662
division_by_zero_dace_clang__veclen_8_cpy,4718592,6,653
division_by_zero_dace_clang__veclen_8_cpy,4718592,7,653
division_by_zero_dace_clang__veclen_8_cpy,4718592,8,644
division_by_zero_dace_clang__veclen_8_cpy,4718592,9,650
division_by_zero_dace_clang__veclen_8_cpy,4718592,10,648
division_by_zero_dace_clang__veclen_8_cpy,4718592,11,650
division_by_zero_dace_clang__veclen_8_cpy,4718592,12,654
division_by_zero_dace_clang__veclen_8_cpy,4718592,13,638
division_by_zero_dace_clang__veclen_8_cpy,4718592,14,645
division_by_zero_dace_clang__veclen_8_cpy,4718592,15,643
